None,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Technology,Technology,Technology,Technology,Set,Set,Set,Set,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,lat,lat,lat,lat,lon,lon,lon,lon,File,File,File,File,projectID,projectID,projectID,projectID
None,CARMA,ENTSOE,GEO,OPSD,CARMA,ENTSOE,GEO,OPSD,CARMA,ENTSOE,GEO,OPSD,CARMA,ENTSOE,GEO,OPSD,CARMA,ENTSOE,GEO,OPSD,CARMA,ENTSOE,GEO,OPSD,CARMA,ENTSOE,GEO,OPSD,CARMA,ENTSOE,GEO,OPSD,CARMA,ENTSOE,GEO,OPSD,CARMA,ENTSOE,GEO,OPSD,CARMA,ENTSOE,GEO,OPSD
id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Adamow,Adamów,Adamow,Adamów,Hard Coal,Lignite,Lignite,Lignite,,,Steam Turbine,,PP,,CHP,PP,Poland,Poland,Poland,Poland,600.0,600.0,600.0,600.0,,,,,52.012222,,52.012,52.01215,18.546111,,18.546,18.54445,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,GPI,[242],19W000000000005K,G160,"[OEU241, OEU240, OEU239, OEU238, OEU237]"
1,Alban,St alban,Saint alban,St alban,Nuclear,Nuclear,Nuclear,Nuclear,,,,Steam Turbine,PP,PP,PP,PP,France,France,France,France,2762.0,1335.0,2782.0,2670.0,,,,,45.4044444444,,45.4043385739,45.40523,4.7544444444,,4.75536030947,4.75527,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[38657],17W100P100P0228F,G1274,"[OEU230, OEU229]"
2,Altbach,Hkw altbach deizisau,Altbach,Altbach deizisau,Hard Coal,Coal,Hard Coal,Hard Coal,,,Steam Turbine,Steam Turbine,CHP,CHP,PP,CHP,Germany,,Germany,Germany,1294.3,1022.0,1200.0,769.0,,,,1985.0,48.71908371,,48.7175,48.717611,9.371351237,,9.375,9.374917,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[1146],11WD4AL1KU1-S--E,G51,"[BNA0020, BNA0019]"
3,Amer,Amer,Amer,Amercentrale,Hard Coal,Coal,Hard Coal,Hard Coal,,,Steam Turbine,Steam Turbine,PP,,CHP,PP,Netherlands,Netherlands,Netherlands,Netherlands,1305.0,643.0,1245.0,1288.0,,,,,51.70948,,51.7081,51.70838,4.84284,,4.8438,4.84381,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Tennet_Q12015,[1339],49W000000000070Z,G123,"[OEU3, OEU2]"
4,Aston,Aston,Aston,Aston,Hydro,Hydro,Hydro,Hydro,,Run-of-river,Reservoir,Run-Of-River,PP,PP,PP,PP,France,France,France,France,90.0,104.0,116.0,104.0,,,,,42.774407,,42.777,42.77668,1.673424,,1.677,1.67671,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[2382],17W100P100P0315K,G844,[OEU129]
5,Avignon,Avignon,Avignon,Avignon,Hydro,Hydro,Hydro,Hydro,,Run-of-river,Run-Of-River,Run-Of-River,PP,PP,PP,PP,France,France,France,France,120.0,126.0,176.0,126.0,,,,1973.0,43.9483386344,,43.976,43.97606,4.80892181396,,4.817,4.81721,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[2638],17W100P100P0326F,G953,[OEU130]
6,Baix logis neuf,Baix logis neuf,Logis neuf,Baix logis neuf,Hydro,Hydro,Hydro,Hydro,,Run-of-river,Run-Of-River,Run-Of-River,PP,PP,PP,PP,France,France,France,France,210.9,140.0,215.0,140.0,,,,1960.0,44.9333333,,44.676,44.67605,4.9,,4.787,4.78827,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[2927],17W100P100P0322N,G892,[OEU131]
7,Bathie,Bathie,Bathie,Bathie,Hydro,Hydro,Hydro,Hydro,,,Reservoir,Reservoir,PP,PP,PP,PP,France,France,France,France,546.0,546.0,546.0,575.0,,,,,45.628131,,45.64467,45.68545,6.451055,,6.44817,6.62249,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[23601],17W100P100P0280D,G949,[OEU157]
8,Beauchastel,Beauchastel,Beauchastel,Beauchastel,Hydro,Hydro,Hydro,Hydro,,Run-of-river,Run-Of-River,Run-Of-River,PP,PP,PP,PP,France,France,France,France,192.7,198.0,204.0,198.0,,,,1963.0,44.9333333,,44.824,44.82397,4.9,,4.811,4.81049,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[3721],17W100P100P0321P,G889,[OEU132]
9,Belchatow,Bełchatów,Belchatow,Bełchatów,Hard Coal,Lignite,Lignite,Lignite,,,Steam Turbine,,CHP,,PP,PP,Poland,Poland,Poland,Poland,4340.0,5420.0,4440.0,5460.0,,,,,51.2663888889,,51.268,51.26719,19.3305555556,,19.325,19.31765,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,GPI,[3873],19W000000000016F,G131,"[OEU249, OEU252, OEU253, OEU254, OEU248, OEU245, OEU246, OEU250, OEU244, OEU243, OEU242, OEU247, OEU251]"
10,Belleville,Belleville,Belleville,Belleville,Nuclear,Nuclear,Nuclear,Nuclear,,,,Steam Turbine,PP,PP,PP,PP,France,France,France,France,2726.0,1310.0,2726.0,2620.0,,,,,47.5097222222,,47.510295,47.50879,2.875,,2.87505,2.87574,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[3945],17W100P100P01865,G1270,"[OEU180, OEU179]"
11,Bergkamen,Bergkamen,Bergkamen,Bergkamen,Hard Coal,Coal,Hard Coal,Hard Coal,,,Steam Turbine,Steam Turbine,CHP,,CHP,PP,Germany,Germany,Germany,Germany,819.0,717.0,747.0,717.0,,,,1981.0,51.63718599,,51.6368,51.63702,7.62746569,,7.61908,7.6191,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,"[4133, 4135]",11WD7BERG1S--KWB,G73,[BNA0067]
12,Bexbach,Bexbach,Bexbach,Bexbach,Hard Coal,Coal,Hard Coal,Hard Coal,,,Steam Turbine,Steam Turbine,PP,,CHP,PP,Germany,Germany,Germany,Germany,773.0,726.0,773.0,721.0,,,,1983.0,49.36487575,,49.3631,49.363481,7.235540744,,7.23778,7.237136,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[4305],11WD7MITB1S--KWK,G89,[BNA0093]
13,Beznau,Kkb kernkw beznau,Beznau,Beznau,Nuclear,Nuclear,Nuclear,Nuclear,,,,Steam Turbine,PP,PP,PP,PP,Switzerland,Switzerland,Switzerland,Switzerland,730.0,730.0,760.0,760.0,,,,1969.0,47.5525,,47.552,47.55198,8.2286111111,,8.2281,8.22825,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Schweizerische Eidgenossenschaft,[4311],12W-0000000017-E,G1302,"[OEU1036, OEU1035]"
14,Bissorte,Super bissorte,Bissorte,Super bissorte,Hydro,Hydro,Hydro,Hydro,,,Reservoir,Pumped Storage,PP,PP,PP,PP,France,France,France,France,821.5,742.3,883.0,742.3,,,,,45.76347,,45.202,45.1803,6.613908,,6.585,6.5797,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[4763],17W100P100P02764,G916,[OEU128]
15,Bort,Bort,Bort les orgues,Bort,Hydro,Hydro,Hydro,Hydro,,,Reservoir,Reservoir,PP,PP,PP,PP,France,France,France,France,215.0,235.0,240.0,235.0,,,,,45.4,,45.413,45.41269,2.5,,2.499,2.49862,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[5351],17W100P100P0281B,G882,[OEU158]
