None,Name,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Fueltype,Technology,Technology,Technology,Technology,Technology,Set,Set,Set,Set,Set,Country,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,Capacity,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,lat,lat,lat,lat,lat,lon,lon,lon,lon,lon,File,File,File,File,File,projectID,projectID,projectID,projectID,projectID
None,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI
id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Amer,Amer,Amer,Amercentrale,Amercentrale,Hard Coal,Coal,Hard Coal,Hard Coal,Coal,,,Steam Turbine,Steam Turbine,,PP,,CHP,PP,PP,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,1305.0,643.0,1245.0,1288.0,643.0,,,,,,51.70948,,51.7081,51.70838,51.7058136,4.84284,,4.8438,4.84381,4.8428914,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Tennet_Q12015,Netherlands Power Plant.csv,[1339],49W000000000070Z,G123,"[OEU3, OEU2]",[155]
1,Claus,Claus,Claus,Clauscentrale,Clauscentrale,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,CCGT,,,PP,,PP,PP,PP,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,1278.0,1914.0,1280.0,1570.0,1570.0,,,,,,51.1392939704,,51.154,51.15409,51.1532785,5.88626861572,,5.9106,5.90803,5.9065417,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Tennet_Q32015,Netherlands Power Plant.csv,[8816],49W000000000069K,G471,"[OEU28, OEU29, OEU30, OEU31]",[925]
2,Diemen,Diemen,Diemen,Diemen dm,Diemen,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,CCGT,,,PP,,CHP,PP,PP,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,236.0,684.0,435.0,684.0,684.0,,,,,,52.34013,,52.3384,52.33898,52.338452,5.02002,,5.0218,5.02134,5.0205508,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Tennet_Q42015,Netherlands Power Plant.csv,[10793],49W0000000000431,G478,"[OEU10, OEU11]",[1125]
3,Elsta,Tnz elsta,Elsta,Elsta,Elsta,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,CCGT,,,CHP,,PP,PP,PP,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,475.0,456.0,460.0,475.0,456.0,,,,,,51.31,,51.3331,51.33319,51.3321539,3.777778,,3.7787,3.78947,3.7800973,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Tennet_Q42015,Netherlands Power Plant.csv,[12352],49W000000000048S,G486,[OEU38],[1279]
4,Hemweg,Hemweg,Hemweg,Hemweg hw,Centrale hemweg,Hard Coal,Coal,Hard Coal,Hard Coal,Coal,,,Steam Turbine,Steam Turbine,,PP,,PP,PP,PP,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,1321.0,1090.0,680.0,650.0,650.0,,,,,,52.40535,,52.4049,52.40537,,4.84664,,4.8465,4.84482,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Tennet_Q32015,Netherlands Power Plant.csv,[17454],49W000000000045Y,G124,[OEU16],[829]
5,Maasvlakte,Maasvlakte,Maasvlakte,Maasvlakte mv,Centrale maasvlakte,Hard Coal,Coal,Hard Coal,Hard Coal,Coal,,,Steam Turbine,Steam Turbine,,PP,,PP,PP,PP,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,1040.0,1070.0,1080.0,2178.0,1110.0,,,,,,51.95944,,51.9588,51.96262,51.9550238,4.02041,,4.026,4.02152,4.0254589,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Tennet_Q12015,Netherlands Power Plant.csv,[26387],49W000000000102B,G127,"[OEU21, OEU20, OEU22]",[833]
6,Rijnmond energie,Rijnmond,Rijnmond netherland,Rijnmond,Rijnmond,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,CCGT,,,CHP,,PP,PP,PP,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,780.0,840.0,790.0,1265.83333333,427.0,,,,,,51.89759,,51.8902,51.89326,51.8941094,4.2766,,4.3552,4.34721,4.3490351,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Tennet_Q42015,Netherlands Power Plant.csv,[37336],49W000000000056T,G487,"[OEU69, OEU68]",[3587]
7,Roca rotterdam,Roca,Roca,Roca roca,Centrale roca,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,,,CHP,,CHP,PP,PP,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,271.4,220.0,218.0,218.0,218.0,,,,,,51.9225,,51.9536,51.95366,51.9535124,4.479167,,4.5614,4.56155,4.5623904,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Tennet_Q22015,Netherlands Power Plant.csv,[37688],49W0000000001047,G493,[OEU24],[837]
