id,CARMA,ENTSOE,GEO,OPSD,Fueltype,Technology,Country,Set,Capacity,YearCommissioned,lat,lon,File,projectID
0,Adamow,Adamów,Adamow,Adamów,Lignite,Steam Turbine,Poland,PP,600.0,,52.012186,18.5460555,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, GPI","{u'GEO': u'G160', u'ENTSOE': u'[19W000000000005K]', u'CARMA': u'[242]', u'OPSD': u'[OEU241, OEU240, OEU239, OEU238, OEU237]'}"
1,Alban,St alban,Saint alban,St alban,Nuclear,Steam Turbine,France,PP,2782.0,,45.4043915092,4.75531515473,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G1274', u'ENTSOE': u'[17W100P100P0227H, 17W100P100P0228F]', u'CARMA': u'[38657]', u'OPSD': u'[OEU230, OEU229]'}"
2,Altbach,Hkw altbach deizisau,Altbach,Altbach deizisau,Hard Coal,Steam Turbine,Germany,CHP,1294.3,1985.0,48.7175555,9.3749585,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G51', u'ENTSOE': u'[11WD4AL1KU1-S--E]', u'CARMA': u'[1146]', u'OPSD': u'[BNA0020, BNA0019]'}"
3,Amer,Amer,Amer,Amercentrale,Hard Coal,Steam Turbine,Netherlands,PP,1305.0,,51.70824,4.843805,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Tennet_Q12015","{u'GEO': u'G123', u'ENTSOE': u'[49W000000000070Z]', u'CARMA': u'[1339]', u'OPSD': u'[OEU3, OEU2]'}"
4,Aramon,Aramon,Aramon oil,Aramon,Oil,Steam Turbine,France,PP,1400.0,,43.880928811,4.65663994873,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G645', u'ENTSOE': u'[17W100P100P0247B, 17W100P100P02489]', u'CARMA': u'[1887]', u'OPSD': u'[OEU86, OEU87]'}"
5,Aston,Aston,Aston,Aston,Hydro,"Reservoir, Run-Of-River",France,PP,116.0,,42.77684,1.676855,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G844', u'ENTSOE': u'[17W100P100P0315K]', u'CARMA': u'[2382]', u'OPSD': u'[OEU129]'}"
6,Avignon,Avignon,Avignon,Avignon,Hydro,Run-Of-River,France,PP,176.0,1973.0,43.97603,4.817105,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G953', u'ENTSOE': u'[17W100P100P0326F]', u'CARMA': u'[2638]', u'OPSD': u'[OEU130]'}"
7,Baix logis neuf,Baix logis neuf,Logis neuf,Baix logis neuf,Hydro,Run-Of-River,France,PP,215.0,1960.0,44.676025,4.787635,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G892', u'ENTSOE': u'[17W100P100P0322N]', u'CARMA': u'[2927]', u'OPSD': u'[OEU131]'}"
8,Bathie,Bathie,Bathie,Bathie,Hydro,Reservoir,France,PP,575.0,,45.6364005,6.4496125,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G949', u'ENTSOE': u'[17W100P100P0280D]', u'CARMA': u'[23601]', u'OPSD': u'[OEU157]'}"
9,Beauchastel,Beauchastel,Beauchastel,Beauchastel,Hydro,Run-Of-River,France,PP,204.0,1963.0,44.823985,4.810745,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G889', u'ENTSOE': u'[17W100P100P0321P]', u'CARMA': u'[3721]', u'OPSD': u'[OEU132]'}"
