id,CARMA,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
0,Genissiat seyssel,Genissiat,Genissiat,Genissiat,France,Hydro,Reservoir,420.0,46.0019033333,5.91417223333,"RTE, France Power Plant.csv"
1,Beauchastel,Beauchastel,Beauchastel,Beauchastel,France,Hydro,Run-Of-River,204.0,44.8604344333,4.84049666667,"RTE, France Power Plant.csv"
2,Maasvlakte,Maasvlakte,Maasvlakte mv,Centrale maasvlakte,Netherlands,Coal,"Hard Coal, Steam Turbine, Thermal",2178.0,51.95897095,4.023347225,"Tennet_Q12015, Netherlands Power Plant.csv"
3,Cheylas,Cheylas le,Cheylas,Cheylas,France,Hydro,Pumped Storage,497.12,45.3809626667,5.99931133333,"RTE, France Power Plant.csv"
4,Chooz,Chooz,Chooz,Chooz,France,Nuclear,Steam Turbine,3120.0,50.0904533333,4.79043629613,"RTE, EU Nuclear Power.csv"
5,Ottmarsheim,Ottmarsheim,Ottmarsheim,Ottmarsheim,France,Hydro,Run-Of-River,156.0,47.7781803333,7.51827066667,"RTE, France Power Plant.csv"
6,Bugey,Bugey,Bugey,Bugey,France,Nuclear,Steam Turbine,3724.0,45.6413353016,5.26919507447,"RTE, EU Nuclear Power.csv"
7,Sisteron,Sisteron,Sisteron,Sisteron,France,Hydro,Reservoir,256.0,44.1909166667,5.93979266667,"RTE, France Power Plant.csv"
8,Pied borne,Pied borne,Pied borne,Borne,France,Hydro,Reservoir,110.0,44.475555328,3.98633879659,"RTE, France Power Plant.csv"
9,Pouget,Pouget le,Pouget,Pouget,France,Hydro,Reservoir,572.5,43.9218146667,2.975352,"RTE, France Power Plant.csv"
10,Aston,Aston,Aston,Aston,France,Hydro,Reservoir,116.0,42.776029,1.67571133333,"RTE, France Power Plant.csv"
11,Brennilis,"Brennilis combustion plant,",Brennilis,Brennilis,France,Oil,OCGT,304.0,48.3572753333,-3.864006,"RTE, France Power Plant.csv"
12,Kembs,Kembs,Kembs,Kembs,France,Hydro,Run-Of-River,156.0,47.6666076667,7.51427466667,"RTE, France Power Plant.csv"
13,Gerstheim,Gerstheim,Gerstheim,Gerstheim,France,Hydro,Run-Of-River,141.0,48.3964246667,7.719611,"RTE, France Power Plant.csv"
14,Brommat,Brommat,Brommat,Brommat,France,Hydro,Reservoir,444.0,44.534853,2.09002266667,"RTE, France Power Plant.csv"
15,Cruas,Cruas,Cruas,Cruas,France,Nuclear,Steam Turbine,3824.0,44.6326855627,4.75410262256,"RTE, EU Nuclear Power.csv"
16,Chinon,Chinon,Chinon,Chinon,France,Nuclear,Steam Turbine,3816.0,47.2281572959,0.168117775191,"RTE, EU Nuclear Power.csv"
17,Pragneres,Pragneres,Pragneres,Pragneres,France,Hydro,Reservoir,292.0,42.809754,0.0130713333333,"RTE, France Power Plant.csv"
18,Elsta,Elsta,Elsta,Elsta,Netherlands,Natural Gas,CCGT,475.0,51.327110975,3.781511325,"Tennet_Q42015, Netherlands Power Plant.csv"
19,Akzo delesto,Delesto,Delesto del,Delesto,Netherlands,Natural Gas,CCGT,549.78,53.31954675,6.950487875,"Tennet_Q12015, Netherlands Power Plant.csv"
20,Leonard,St leonard,St léonard,St léonard,Switzerland,Hydro,Reservoir,36.0,46.5169416513,7.88312020745,"BFE, Switzerland Power Plant.csv"
21,Stalden,Stalden,Stalden,Stalden kwm,Switzerland,Hydro,Reservoir,185.0,46.5144641015,7.98549293207,"BFE, Switzerland Power Plant.csv"
22,Zermeiggern,Zermeiggern,Zermeiggern,Zermeiggern,Switzerland,Hydro,Pumped Storage,76.0,46.0832408369,7.95719213483,"BFE, Switzerland Power Plant.csv"
23,Aarberg,Aarberg,Aarberg,Aarberg,Switzerland,Hydro,Run-Of-River,15.5,47.0400152756,7.27323628073,"BFE, Switzerland Power Plant.csv"
24,Muehleberg wkw,Muehleberg,Mühleberg,Mühleberg,Switzerland,Hydro,Run-Of-River,45.0,46.8565610445,7.9261246817,"BFE, Switzerland Power Plant.csv"
25,Caderousse,Caderousse,Caderousse,Caderousse,France,Hydro,Run-Of-River,195.18,44.1104183333,4.751732,"RTE, France Power Plant.csv"
26,Dk sollac,Dk dunkerque,Dk,Dk,France,Natural Gas,Combined Cycle Gas Engine (Ccge),810.0,51.04148,2.33460666667,"RTE, France Power Plant.csv"
27,Eems,Eems,Eemscentrale ec,Eemscentrale,Netherlands,Natural Gas,CCGT,3134.7,53.43599285,6.86844785,"Tennet_Q42015, Netherlands Power Plant.csv"
28,Avignon,Avignon,Avignon,Avignon,France,Hydro,Run-Of-River,176.0,43.9667995448,4.81437727132,"RTE, France Power Plant.csv"
29,Baix logis neuf,Logis neuf,Baix logis neuf,Baix logis neuf,France,Hydro,Run-Of-River,215.0,44.7617944333,4.82509,"RTE, France Power Plant.csv"
30,Bourg valence,Bourg les valence,Bourg les valence,Bourg les valence,France,Hydro,Run-Of-River,186.0,44.9760963333,4.87381233333,"RTE, France Power Plant.csv"
31,Donzere,Bollene,Donzere mondragon,Donzere mondragon,France,Hydro,Run-Of-River,354.0,44.3495243333,4.73198733333,"RTE, France Power Plant.csv"
32,Mareges,Mareges,Mareges,Mareges,France,Hydro,Reservoir,301.8,45.39457,2.35948666667,"RTE, France Power Plant.csv"
33,Sloecentrale,Sloe netherland,Sloecentrale unit,Sloecentrale,Netherlands,Natural Gas,CCGT,900.0,51.4490772,3.67546845,"Tennet_Q42015, Netherlands Power Plant.csv"
34,Ijmuiden una,Ijmond,Ijmond,Centrale ijmond,Netherlands,Natural Gas,CCGT,145.938,52.4697041254,4.62445168277,"Tennet_Q32015, Netherlands Power Plant.csv"
35,Belleville,Belleville,Belleville,Belleville,France,Nuclear,Steam Turbine,2726.0,47.5096024074,2.87526333333,"RTE, EU Nuclear Power.csv"
36,Sainte croix,Sainte croix,Sainte croix,Sainte croix,France,Hydro,Reservoir,158.0,43.74129,6.13941,"RTE, France Power Plant.csv"
37,Porcheville,"Porcheville plant,",Porcheville,Porcheville,France,Oil,CHP,2400.0,48.9709608732,1.76628648942,"RTE, France Power Plant.csv"
38,Couesque,Couesque,Couesque,Couesque,France,Hydro,Reservoir,124.5,44.679384381,2.57933446147,"RTE, France Power Plant.csv"
39,Oraison,Oraison,Oraison,Oraison,France,Hydro,Reservoir,195.0,43.9362255667,5.8775711,"RTE, France Power Plant.csv"
40,Revin,Revin pump,Revin,Revin,France,Hydro,Pumped Storage,808.0,49.9304414091,4.62077961304,"RTE, France Power Plant.csv"
41,Chamas,Saint chamas,Saint chamas,Saint chamas,France,Hydro,Reservoir,165.0,43.5346246667,5.059888,"RTE, France Power Plant.csv"
42,Nogent,Nogent,Nogent,Nogent,France,Nuclear,Steam Turbine,2726.0,48.5158875482,3.5178790903,"RTE, EU Nuclear Power.csv"
43,Etienne cantales,Saint etienne cantales,St etienne cantales,St etienne cantales,France,Hydro,Reservoir,106.5,44.9456623333,2.22074566667,"RTE, France Power Plant.csv"
44,Montezic,Montezic pump,Montezic,Montezic,France,Hydro,Pumped Storage,912.0,44.727065,2.64128933333,"RTE, France Power Plant.csv"
45,Golfech,Golfech,Golfech,Golfech,France,Nuclear,Steam Turbine,2726.0,44.1058282762,0.845199336273,"RTE, EU Nuclear Power.csv"
46,Strasbourg,Strasbourg,Strasbourg,Strasbourg,France,Hydro,Run-Of-River,174.82,48.5450103762,7.77817268962,"RTE, France Power Plant.csv"
47,Bissorte,Bissorte,Super bissorte,Super bissorte,France,Hydro,Reservoir,883.0,45.3819233333,6.59286933333,"RTE, France Power Plant.csv"
48,Bathie,Bathie,Bathie,Bathie,France,Hydro,Reservoir,1056.0,45.6528053333,6.50671,"RTE, France Power Plant.csv"
49,Serre poncon,Serre poncon,Serre poncon,Serre poncon,France,Hydro,Reservoir,384.0,44.4689056667,6.25219166667,"RTE, France Power Plant.csv"
50,Monteynard,Monteyard avigonnet,Monteynard,Monteynard,France,Hydro,Reservoir,366.0,45.040252,5.30288266667,"RTE, France Power Plant.csv"
51,Malgovert,Brevieres malgovert,Malgovert,Malgovert,France,Hydro,Reservoir,396.0,45.6367975398,6.6571165804,"RTE, France Power Plant.csv"
52,Civaux,Civaux,Civaux,Civaux,France,Nuclear,Steam Turbine,3122.0,46.4563815657,0.653328578225,"RTE, EU Nuclear Power.csv"
53,Tricastin,Tricastin,Tricastin,Tricastin,France,Nuclear,Steam Turbine,3820.0,44.3299729348,4.72979751413,"RTE, EU Nuclear Power.csv"
54,Bort,Bort les orgues,Bort,Bort,France,Hydro,Reservoir,240.0,45.4085633333,2.49920666667,"RTE, France Power Plant.csv"
55,Esteve,Saint esteve janson,Saint esteve,Saint esteve,France,Hydro,Reservoir,156.0,43.8552744333,5.6455189,"RTE, France Power Plant.csv"
56,Gravelines,Gravelines,Gravelines,Gravelines,France,Nuclear,Steam Turbine,5706.0,51.0140194442,2.13629348235,"RTE, EU Nuclear Power.csv"
57,Cattenom,Cattenom,Cattenom,Cattenom,France,Nuclear,Steam Turbine,5448.0,49.4158895587,6.21769928669,"RTE, EU Nuclear Power.csv"
58,Flamanville,Flamanville,Flamanville,Flamanville,France,Nuclear,Steam Turbine,2764.0,49.5365575963,-1.88209892425,"RTE, EU Nuclear Power.csv"
59,Fessenheim,Fessenheim,Fessenheim,Fessenheim,France,Nuclear,Steam Turbine,1840.0,47.9078741922,7.55439492134,"RTE, EU Nuclear Power.csv"
60,Grand maison,Grand maison,Grand maison,Grand maison,France,Hydro,Pumped Storage,1804.24,45.1704013333,6.08267533333,"RTE, France Power Plant.csv"
61,Paluel,Paluel,Paluel,Paluel,France,Nuclear,Steam Turbine,5528.0,49.858218665,0.635138661414,"RTE, EU Nuclear Power.csv"
62,Fessenheim hydro,Fessenheim,Fessenheim,Fessenheim,France,Hydro,Run-Of-River,175.0,47.9157003333,7.55955166667,"RTE, France Power Plant.csv"
63,Chastang,Chastang,Chastang,Chastang,France,Hydro,Reservoir,300.0,45.1448536667,2.01439666667,"RTE, France Power Plant.csv"
64,Sarrans,Sarrans,Sarrans,Sarrans,France,Hydro,Reservoir,183.0,44.834359,2.71386966667,"RTE, France Power Plant.csv"
65,Rhinau,Rhinau,Rhinau,Rhinau,France,Hydro,Run-Of-River,167.8,48.286207739,7.67326293986,"RTE, France Power Plant.csv"
66,Blayais,Blayais,Blayais,Blayais,France,Nuclear,Steam Turbine,3804.0,45.2564177778,-0.2302648148,"RTE, EU Nuclear Power.csv"
67,Penly,Penly,Penly,Penly,France,Nuclear,Steam Turbine,2764.0,49.9763658428,1.21097747546,"RTE, EU Nuclear Power.csv"
68,Marckolsheim,Marckolsheim,Marckolsheim,Marckolsheim,France,Hydro,Run-Of-River,156.2,48.1574738258,7.57426751099,"RTE, France Power Plant.csv"
69,Coche,Coche,Coche,Coche,France,Hydro,Pumped Storage,320.0,45.4873344333,6.52623776667,"RTE, France Power Plant.csv"
70,Dampierre,Dampierre,Dampierre,Dampierre,France,Nuclear,Steam Turbine,3864.0,47.7325626896,2.51763414005,"RTE, EU Nuclear Power.csv"
71,Guillerme,St. guillerme,Saint guillerme,Saint guillerme,France,Hydro,Reservoir,116.0,45.0387756667,6.06266166667,"RTE, France Power Plant.csv"
72,Villarodin mont cenis,Villarodin,Villarodin,Villarodin,France,Hydro,Reservoir,360.0,45.20922,6.69991556667,"RTE, France Power Plant.csv"
73,Vouglans,Vouglans,Vouglans,Vouglans,France,Hydro,Reservoir,288.0,46.3992734113,5.66014031047,"RTE, France Power Plant.csv"
74,Curbans,Curbans,Curbans,Curbans,France,Hydro,Reservoir,165.0,44.4322596667,6.040113,"RTE, France Power Plant.csv"
75,Felsenau,Felsenau,Felsenau,Felsenau,Switzerland,Hydro,Run-Of-River,11.94,46.9613443082,7.44286400767,"BFE, Switzerland Power Plant.csv"
76,Gondo,Gondo,Gondo,Gondo,Switzerland,Hydro,Reservoir,46.0,46.2281959235,8.10708040296,"BFE, Switzerland Power Plant.csv"
77,Diemen,Diemen,Diemen dm,Diemen,Netherlands,Natural Gas,CCGT,701.0,52.339053,5.0208652,"Tennet_Q42015, Netherlands Power Plant.csv"
