id,Name,Country,Fueltype,location,File,Technology,Capacity,lat,lon
0,"""helmshäger berg""",Germany,Natural Gas,Greifswald,Germany Power Plants (conventional).csv,,14.7,54.095791,13.3815238
1,Aall ulefoss,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,8.0,,
2,Aalst syral,Belgium,Natural Gas,,Belgium Power Plant.csv,,43.0,,
3,Aalst syral st,Belgium,Natural Gas,,Belgium Power Plant.csv,,5.0,,
4,Aalter tj,Belgium,Oil,,Belgium Power Plant.csv,,18.6,,
5,Aarau stadt,Switzerland,Hydro,,Switzerland Power Plant.csv,,16.93,,
6,Aarberg,Switzerland,Hydro,,Switzerland Power Plant.csv,,15.2,,
7,Aarburg,Switzerland,Hydro,,Switzerland Power Plant.csv,,0.42,,
8,Aarewerk thun,Switzerland,Hydro,,Switzerland Power Plant.csv,,9.15,,
9,Abelvattnet,Sweden,Hydro,"Ume Älv River, close to the Norwegian border",Sweden Power Plant.csv,,5.0,,
10,Abengoa servicios urbanos,Spain,Waste,,Spain Power Plants Over 10 MW.csv,,30.0,,
11,Aberthaw,United Kingdom,Coal,Wales,UK Power Plant.csv,,1586.0,52.2928116,-3.7389299
12,Aberthaw,United Kingdom,Natural Gas,Wales,UK Power Plant.csv,,51.0,52.2928116,-3.7389299
13,Abfallentsorgungszentrum asdonkshof,Germany,Waste,Kamp-Lintfort,Germany Power Plants (conventional).csv,,20.8,51.5017981,6.547923
14,Abjora,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,103.0,,
15,Abono,Spain,Coal,,Spain Power Plants Over 10 MW.csv,,877.66,,
16,Aboyeu,Switzerland,Hydro,,Switzerland Power Plant.csv,,3.3,,
17,Abuela santa ana,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,49.5,,
18,Abwinden asten,Austria,Hydro,,Verbund Power Plant.csv,,168.0,,
19,Acampo arias,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,12.0,,
20,Acampo armijo,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,18.0,,
21,Acebo,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,17.82,,
22,"Aceca,",Spain,Natural Gas,,Spain Power Plants Over 10 MW.csv,,758.74,,
23,"Aceites marpoles, s.l.",Spain,Waste,,Spain Power Plants Over 10 MW.csv,,11.57,,
24,Aceites sur coosur s.a.,Spain,Waste,,Spain Power Plants Over 10 MW.csv,,13.7,,
25,Aceria,Spain,Waste,,Spain Power Plants Over 10 MW.csv,,19.44,,
26,Achanalt,United Kingdom,Hydro,Scotland,UK Power Plant.csv,,3.0,56.7861112,-4.1140517
27,Achany,United Kingdom,Wind,Scotland,UK Power Plant.csv,,38.0,56.7861112,-4.1140517
