,technology,source,source_type,year,type,country,capacity_definition,capacity,technology_level_0,technology_level_1,technology_level_2,technology_level_3
0,Fossil fuels,Agencija za energijo,Ministry,2013,Installed capacity in MW,SI,Net capacity,1240.0,False,True,False,False
1,Fossil fuels,Agencija za energijo,Ministry,2014,Installed capacity in MW,SI,Net capacity,1766.0,False,True,False,False
2,Fossil fuels,Anre,Regulatory Authority,2013,Installed capacity in MW,RO,Unknown,12079.0,False,True,False,False
3,Fossil fuels,Anre,Regulatory Authority,2014,Installed capacity in MW,RO,Unknown,12102.0,False,True,False,False
4,Fossil fuels,BFE,Regulatory Authority,2012,Installed capacity in MW,CH,Unknown,575.0,False,True,False,False
5,Fossil fuels,BFE,Regulatory Authority,2014,Installed capacity in MW,CH,Unknown,622.0,False,True,False,False
6,Fossil fuels,BMWi,Ministry,2013,Installed capacity in MW,DE,Gross capacity,81918.6,False,True,False,False
7,Fossil fuels,BMWi,Ministry,2014,Installed capacity in MW,DE,Gross capacity,87466.1,False,True,False,False
8,Fossil fuels,CIRE,Private companies,2014,Installed capacity in MW,PL,Unknown,31086.7,False,True,False,False
9,Fossil fuels,Central Statistical Bureau of Latvia,Statistical Office,2013,Installed capacity in MW,LV,Unknown,1251.5,False,True,False,False
10,Fossil fuels,Central Statistical Bureau of Latvia,Statistical Office,2014,Installed capacity in MW,LV,Unknown,1265.3,False,True,False,False
11,Fossil fuels,Croation Transmission System operator (HOPS),Transmission System Operator,2013,Installed capacity in MW,HR,Unknown,1670.0,False,True,False,False
12,Fossil fuels,DEA,Ministry,2013,Installed capacity in MW,DK,Net capacity,8158.969999999999,False,True,False,False
13,Fossil fuels,Department of Energy & Climate Change,Ministry,2015,Installed capacity in MW,GB,Unknown,55505.7,False,True,False,False
14,Fossil fuels,ELIA,Transmission System Operator,2015,Installed capacity in MW,BE,Gross capacity,5641.2,False,True,False,False
15,Fossil fuels,ERU,Regulatory Authority,2013,Installed capacity in MW,CZ,Net capacity,12157.6,False,True,False,False
16,Fossil fuels,ERU,Regulatory Authority,2014,Installed capacity in MW,CZ,Net capacity,13033.0,False,True,False,False
17,Fossil fuels,EUROSTAT,Statistical Office,2013,Installed capacity in MW,AT,Unknown,8171.0,False,True,False,False
18,Fossil fuels,EUROSTAT,Statistical Office,2013,Installed capacity in MW,BE,Unknown,8910.0,False,True,False,False
19,Fossil fuels,EUROSTAT,Statistical Office,2013,Installed capacity in MW,BG,Unknown,4701.0,False,True,False,False
20,Fossil fuels,EUROSTAT,Statistical Office,2013,Installed capacity in MW,CZ,Unknown,21079.0,False,True,False,False
21,Fossil fuels,EUROSTAT,Statistical Office,2013,Installed capacity in MW,DE,Unknown,91368.0,False,True,False,False
