name,company,street,postcode,city,country,capacity,energy_source,technology,additional_info,type,chp,commissioned,comment,source,eic_code,lat,lon,energy_source_level_1,energy_source_level_2,energy_source_level_3
AL-1,NUON,Marketkant 12-10,1341AK,Almere,NL,62.0,Natural gas,,,,,,,Tennet_Q1,,52.38811,5.2154,Fossil fuels,Natural gas,
AL-2,NUON,Markerkant 12-10,1341AK,Almere,NL,55.0,Natural gas,,,,,,,Tennet_Q4,,52.38811,5.2154,Fossil fuels,Natural gas,
Amercentrale (A8),ESSENT ENERGY TRADING B.V.,Amerweg .,4931NC,Geertruidenberg,NL,645.0,Hard coal,Steam turbine,,,,,,Tennet_Q4,49W000000000070Z,51.70838,4.84381,Fossil fuels,Hard coal,
Amercentrale (A9),ESSENT ENERGY TRADING B.V.,Amerweg .,4931NC,Geertruidenberg,NL,643.0,Hard coal,Steam turbine,,,,,,Tennet_Q1,49W000000000070Z,51.70838,4.84381,Fossil fuels,Hard coal,
Amylum,AMYLUM NEDERLAND B.V.,Lagedijk 5,1541KA,Koog aan de Zaan,NL,7.0,Natural gas,,,,,,,Tennet_Q1,,52.46552,4.81361,Fossil fuels,Natural gas,
Attero Noord B.V.,DELTA ENERGY B.V.,VAMweg 7,9418TM,Wijster,NL,48.0,Biomass and biogas,,,,,,,Tennet_Q2,,,,Renewable energy,Bioenergy,Biomass and biogas
BOZ,ESSENT ENERGY TRADING B.V.,Moervaart 1,4622RR,Bergen op Zoom,NL,33.0,Natural gas,,,,,,,Tennet_Q2,,51.50555,4.33998,Fossil fuels,Natural gas,
CUIJK,ESSENT ENERGY TRADING B.V.,Lange Ooijen 31,5433NG,Katwijk (NB),NL,25.0,Hard coal,Steam turbine,,,,,,Tennet_Q2,,51.75381,5.8528,Fossil fuels,Hard coal,
Centrale Bergum (CB10),ELECTRABEL NEDERLAND NV,Koumarwei 2,9251ML,Bergum,NL,72.0,Natural gas,,,,,,,Tennet_Q2,,53.20975,6.02959,Fossil fuels,Natural gas,
Centrale Bergum (CB20),ELECTRABEL NEDERLAND NV,Koumarwei 2,9251ML,Bergum,NL,72.0,Natural gas,,,,,,,Tennet_Q2,,53.20975,6.02959,Fossil fuels,Natural gas,
Centrale Diemen (DM33),NUON,Overdiemerweg 35,1111PP,Diemen,NL,249.0,Natural gas,,,,,,,Tennet_Q3,49W0000000000431,52.33898,5.02134,Fossil fuels,Natural gas,
Centrale Diemen (DM34),VATTENFALL ENERGY TRADING,Overdiemerweg 35,1111PP,Diemen,NL,435.0,Natural gas,,,,,,,Tennet_Q1,49W0000000000431,52.33898,5.02134,Fossil fuels,Natural gas,
Centrale Galileistraat (FG1),EON BENELUX,Galileistraat 15,3029AL,Rotterdam,NL,0.0,Natural gas,,,,,,,Tennet_Q2,,51.91025,4.42608,Fossil fuels,Natural gas,
Centrale Gelderland (CG13),ELECTRABEL NEDERLAND NV,Weurtseweg 460,6541BE,Nijmegen,NL,0.0,Hard coal,Steam turbine,,,,,,Tennet_Q2,49W000000000076N,51.85607,5.83043,Fossil fuels,Hard coal,
Centrale Harculo (HC60),ELECTRABEL NEDERLAND NV,IJsselcentraleweg 6,8015PA,Zwolle,NL,0.0,Natural gas,,,,,,,Tennet_Q2,,52.46907,6.10767,Fossil fuels,Natural gas,
Centrale Hemweg (HW-7),NUON,Petroliumhavenweg 1,1041AB,Amsterdam,NL,585.0,Natural gas,,,,,,,Tennet_Q3,49W000000000045Y,52.40537,4.84482,Fossil fuels,Natural gas,
Centrale Hemweg (HW-8),NUON,Petroliumhavenweg 1,1041AB,Amsterdam,NL,650.0,Hard coal,Steam turbine,,,,,,Tennet_Q1,49W000000000045Y,52.40537,4.84482,Fossil fuels,Hard coal,
