id,Name,Fueltype,Technology,Set,Country,Capacity,YearCommissioned,lat,lon,File,projectID
0,Gdk-Mellach,Natural Gas,,PP,Austria,838.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-WGM-KW-----J
1,Ottensheim-Wilhering,Hydro,Run-Of-River,PP,Austria,179.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-BOW-KW-----9
2,Gerlos,Hydro,Reservoir,PP,Austria,200.2,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-TZG-KW-----H
3,Roßhag,Hydro,Pumped Storage,PP,Austria,231.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-TZR-KW-----I
4,Fhkw Linz Mitte,Natural Gas,,CHP,Austria,216.8,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14WLSG-MITTE---U
5,Kraftwerk Theiß,Natural Gas,,PP,Austria,765.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-KW-THE-EVN-7
6,Kraftwerk Timelkam Gud,Natural Gas,,PP,Austria,400.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14WENERGIE--WT02
7,Kraftwerk Dürnrohr,Hard Coal,,PP,Austria,392.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-KW-DU2-EVN-K
8,Fhkw Linz Süd,Natural Gas,,CHP,Austria,158.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14WLSG-1SUED---5
9,Kaprun-Hauptstufe,Hydro,Reservoir,PP,Austria,240.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-TKH-KW-----O
10,Malta-Hauptstufe,Hydro,Pumped Storage,PP,Austria,730.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-DMH-KW-----9
11,Kraftwerk Oschenik,Hydro,Pumped Storage,PP,Austria,114.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-E110349----M
12,Kw Leopoldau,Natural Gas,,PP,Austria,140.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-PROD-LAU---8
13,Kraftwerk Korneuburg,Natural Gas,,PP,Austria,152.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-KW-KO2-EVN-5
14,Voestalpine Kw Linz,Natural Gas,,PP,Austria,153.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-VOEST-KW---0
15,Altenwörth,Hydro,Run-Of-River,PP,Austria,328.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-BAW-KW-----F
16,Wallsee-Mitterkirchen,Hydro,Run-Of-River,PP,Austria,210.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-BWM-KW-----L
