id,CARMA,FIAS,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
0,Cheylas,Le cheylas plant,Cheylas le,Cheylas,Cheylas,France,Hydro,Pumped Storage,497.12,45.380722,5.9969835,"energy_storage_exchange, RTE, France Power Plant.csv"
1,Pouget,Le pouget plant,Pouget le,Pouget,Pouget,France,Hydro,Reservoir,572.5,43.956361,2.924014,"energy_storage_exchange, RTE, France Power Plant.csv"
2,Revin,Revin plant,Revin pump,Revin,Revin,France,Hydro,Pumped Storage,808.0,49.9278310569,4.61558470978,"energy_storage_exchange, RTE, France Power Plant.csv"
3,Montezic,Montézic plant,Montezic pump,Montezic,Montezic,France,Hydro,Pumped Storage,912.0,44.72279875,2.640967,"energy_storage_exchange, RTE, France Power Plant.csv"
4,Bissorte,Super bissorte plant,Bissorte,Super bissorte,Super bissorte,France,Hydro,Pumped Storage,883.0,45.3314425,6.564652,"energy_storage_exchange, RTE, France Power Plant.csv"
5,Grand maison,Grand'maison dam plant,Grand maison,Grand maison,Grand maison,France,Hydro,Pumped Storage,1820.0,45.180301,6.0920065,"energy_storage_exchange, RTE, France Power Plant.csv"
6,Coche,Coche plant,Coche,Coche,Coche,France,Hydro,Pumped Storage,320.0,45.485500825,6.527178325,"energy_storage_exchange, RTE, France Power Plant.csv"
7,Genissiat seyssel,,Genissiat,Genissiat,Genissiat,France,Hydro,Run-Of-River,420.0,46.0019033333,5.91417223333,"RTE, France Power Plant.csv"
8,Beauchastel,,Beauchastel,Beauchastel,Beauchastel,France,Hydro,Run-Of-River,204.0,44.8604344333,4.84049666667,"RTE, France Power Plant.csv"
9,Ottmarsheim,,Ottmarsheim,Ottmarsheim,Ottmarsheim,France,Hydro,Run-Of-River,156.0,47.7781803333,7.51827066667,"RTE, France Power Plant.csv"
10,Sisteron,,Sisteron,Sisteron,Sisteron,France,Hydro,Reservoir,256.0,44.1909166667,5.93979266667,"RTE, France Power Plant.csv"
11,Pied borne,,Pied borne,Pied borne,Borne,France,Hydro,Reservoir,110.0,44.475555328,3.98633879659,"RTE, France Power Plant.csv"
12,Aston,,Aston,Aston,Aston,France,Hydro,Run-Of-River,116.0,42.776029,1.67571133333,"RTE, France Power Plant.csv"
13,Kembs,,Kembs,Kembs,Kembs,France,Hydro,Run-Of-River,156.0,47.6666076667,7.51427466667,"RTE, France Power Plant.csv"
14,Gerstheim,,Gerstheim,Gerstheim,Gerstheim,France,Hydro,Run-Of-River,141.0,48.3964246667,7.719611,"RTE, France Power Plant.csv"
15,Brommat,,Brommat,Brommat,Brommat,France,Hydro,Reservoir,444.0,44.534853,2.09002266667,"RTE, France Power Plant.csv"
16,Pragneres,,Pragneres,Pragneres,Pragneres,France,Hydro,Reservoir,292.0,42.809754,0.0130713333333,"RTE, France Power Plant.csv"
17,Leonard,,St leonard,St léonard,St léonard,Switzerland,Hydro,Reservoir,36.0,46.5169416513,7.88312020745,"BFE, Switzerland Power Plant.csv"
18,Stalden,,Stalden,Stalden,Stalden kwm,Switzerland,Hydro,Reservoir,185.0,46.5144641015,7.98549293207,"BFE, Switzerland Power Plant.csv"
19,Zermeiggern,,Zermeiggern,Zermeiggern,Zermeiggern,Switzerland,Hydro,Pumped Storage,76.0,46.0832408369,7.95719213483,"BFE, Switzerland Power Plant.csv"
20,Aarberg,,Aarberg,Aarberg,Aarberg,Switzerland,Hydro,Run-Of-River,15.5,47.0400152756,7.27323628073,"BFE, Switzerland Power Plant.csv"
21,Muehleberg wkw,,Muehleberg,Mühleberg,Mühleberg,Switzerland,Hydro,Run-Of-River,45.0,46.8565610445,7.9261246817,"BFE, Switzerland Power Plant.csv"
22,Caderousse,,Caderousse,Caderousse,Caderousse,France,Hydro,Run-Of-River,195.18,44.1104183333,4.751732,"RTE, France Power Plant.csv"
23,Avignon,,Avignon,Avignon,Avignon,France,Hydro,Run-Of-River,176.0,43.9667995448,4.81437727132,"RTE, France Power Plant.csv"
24,Baix logis neuf,,Logis neuf,Baix logis neuf,Baix logis neuf,France,Hydro,Run-Of-River,215.0,44.7617944333,4.82509,"RTE, France Power Plant.csv"
25,Bourg valence,,Bourg les valence,Bourg les valence,Bourg les valence,France,Hydro,Run-Of-River,186.0,44.9760963333,4.87381233333,"RTE, France Power Plant.csv"
26,Donzere,,Bollene,Donzere mondragon,Donzere mondragon,France,Hydro,Run-Of-River,354.0,44.3495243333,4.73198733333,"RTE, France Power Plant.csv"
27,Mareges,,Mareges,Mareges,Mareges,France,Hydro,Run-Of-River,301.8,45.39457,2.35948666667,"RTE, France Power Plant.csv"
28,Sainte croix,,Sainte croix,Sainte croix,Sainte croix,France,Hydro,Reservoir,158.0,43.74129,6.13941,"RTE, France Power Plant.csv"
29,Couesque,,Couesque,Couesque,Couesque,France,Hydro,Run-Of-River,124.5,44.679384381,2.57933446147,"RTE, France Power Plant.csv"
30,Oraison,,Oraison,Oraison,Oraison,France,Hydro,Reservoir,195.0,43.9362255667,5.8775711,"RTE, France Power Plant.csv"
31,Chamas,,Saint chamas,Saint chamas,Saint chamas,France,Hydro,Reservoir,165.0,43.5346246667,5.059888,"RTE, France Power Plant.csv"
32,Etienne cantales,,Saint etienne cantales,St etienne cantales,St etienne cantales,France,Hydro,Reservoir,106.5,44.9456623333,2.22074566667,"RTE, France Power Plant.csv"
33,Strasbourg,,Strasbourg,Strasbourg,Strasbourg,France,Hydro,Run-Of-River,174.82,48.5450103762,7.77817268962,"RTE, France Power Plant.csv"
34,Bathie,,Bathie,Bathie,Bathie,France,Hydro,Reservoir,1056.0,45.6528053333,6.50671,"RTE, France Power Plant.csv"
35,Serre poncon,,Serre poncon,Serre poncon,Serre poncon,France,Hydro,Reservoir,384.0,44.4689056667,6.25219166667,"RTE, France Power Plant.csv"
36,Monteynard,,Monteyard avigonnet,Monteynard,Monteynard,France,Hydro,Reservoir,366.0,45.040252,5.30288266667,"RTE, France Power Plant.csv"
37,Malgovert,,Brevieres malgovert,Malgovert,Malgovert,France,Hydro,Reservoir,396.0,45.6367975398,6.6571165804,"RTE, France Power Plant.csv"
38,Bort,,Bort les orgues,Bort,Bort,France,Hydro,Reservoir,240.0,45.4085633333,2.49920666667,"RTE, France Power Plant.csv"
39,Esteve,,Saint esteve janson,Saint esteve,Saint esteve,France,Hydro,Reservoir,156.0,43.8552744333,5.6455189,"RTE, France Power Plant.csv"
40,Fessenheim hydro,,Fessenheim,Fessenheim,Fessenheim,France,Hydro,Run-Of-River,175.0,47.9157003333,7.55955166667,"RTE, France Power Plant.csv"
41,Chastang,,Chastang,Chastang,Chastang,France,Hydro,Run-Of-River,300.0,45.1448536667,2.01439666667,"RTE, France Power Plant.csv"
42,Sarrans,,Sarrans,Sarrans,Sarrans,France,Hydro,Reservoir,183.0,44.834359,2.71386966667,"RTE, France Power Plant.csv"
43,Rhinau,,Rhinau,Rhinau,Rhinau,France,Hydro,Run-Of-River,167.8,48.286207739,7.67326293986,"RTE, France Power Plant.csv"
44,Marckolsheim,,Marckolsheim,Marckolsheim,Marckolsheim,France,Hydro,Run-Of-River,156.2,48.1574738258,7.57426751099,"RTE, France Power Plant.csv"
45,Guillerme,,St. guillerme,Saint guillerme,Saint guillerme,France,Hydro,Reservoir,116.0,45.0387756667,6.06266166667,"RTE, France Power Plant.csv"
46,Villarodin mont cenis,,Villarodin,Villarodin,Villarodin,France,Hydro,Reservoir,360.0,45.20922,6.69991556667,"RTE, France Power Plant.csv"
47,Vouglans,,Vouglans,Vouglans,Vouglans,France,Hydro,Reservoir,288.0,46.3992734113,5.66014031047,"RTE, France Power Plant.csv"
48,Curbans,,Curbans,Curbans,Curbans,France,Hydro,Reservoir,165.0,44.4322596667,6.040113,"RTE, France Power Plant.csv"
49,Felsenau,,Felsenau,Felsenau,Felsenau,Switzerland,Hydro,Run-Of-River,11.94,46.9613443082,7.44286400767,"BFE, Switzerland Power Plant.csv"
50,Gondo,,Gondo,Gondo,Gondo,Switzerland,Hydro,Run-Of-River,46.0,46.2281959235,8.10708040296,"BFE, Switzerland Power Plant.csv"
51,Innertkirchen,,Innertkirchen,Innertkirchen,Innertkirchen,Switzerland,Hydro,Reservoir,317.0,46.8613412954,8.44225189916,"BFE, Switzerland Power Plant.csv"
52,Handeck,,Handeck,Handeck diagonalpumpe,Handeck,Switzerland,Hydro,Reservoir,291.0,46.5245788204,8.06672318139,"BFE, Switzerland Power Plant.csv"
53,Gordola,,Verzasca,Verzasca gordola,Gordola,Switzerland,Hydro,Reservoir,132.5,46.18919393,8.44072745355,"BFE, Switzerland Power Plant.csv"
54,Chatelard,,Chatelard vallorcine,Châtelard barberine,Châtelard vallorcine,Switzerland,Hydro,Pumped Storage,260.5,46.0617255962,6.95869413742,"BFE, Switzerland Power Plant.csv"
55,Verbois,,Verbois,Verbois,Verbois,Switzerland,Hydro,Run-Of-River,102.8,46.4173360073,6.94483448516,"BFE, Switzerland Power Plant.csv"
56,Chancy pougny,,Chancy pougny,Chancy pougny,Chancy pougny,Switzerland,Hydro,Run-Of-River,54.48,46.1601355945,5.97597430023,"BFE, Switzerland Power Plant.csv"
57,Hopflauenen trift,,Hopflauenen,Hopflauenen trift,Hopflauenen trift,Switzerland,Hydro,Reservoir,92.0,46.5469602547,7.9354832774,"BFE, Switzerland Power Plant.csv"
58,Seujet,,Seujet,Seujet,Seujet,Switzerland,Hydro,Run-Of-River,8.7,46.2036598739,6.13498579275,"BFE, Switzerland Power Plant.csv"
59,Croix,,Croix,Croix,Croix,Switzerland,Hydro,Reservoir,66.0,46.5274564645,7.43804986011,"BFE, Switzerland Power Plant.csv"
60,Gabi,,Gabi,Gabi,Gabi,Switzerland,Hydro,Run-Of-River,11.33,46.1882057668,8.07013349225,"BFE, Switzerland Power Plant.csv"
61,Niederried radelfingen,,Niederried radelfingen,Niederried,Niederried,Switzerland,Hydro,Run-Of-River,15.0,47.0031360883,7.24106783559,"BFE, Switzerland Power Plant.csv"
62,,,Aussois + combe d'avrieux,Combe d'avrieux,Combe d'avrieux,France,Hydro,Reservoir,198.0,45.21424,6.716265,"RTE, France Power Plant.csv"
