,BNETZA,UBA
0,2.0,0.0
1,5.0,2.0
2,4.0,3.0
3,10.0,5.0
4,29.0,6.0
5,30.0,7.0
6,32.0,8.0
7,33.0,9.0
8,34.0,12.0
9,38.0,16.0
10,39.0,19.0
11,385.0,200.0
12,41.0,21.0
13,49.0,22.0
14,66.0,23.0
15,72.0,29.0
16,73.0,30.0
17,75.0,31.0
18,80.0,32.0
19,78.0,33.0
20,86.0,34.0
21,89.0,35.0
22,233.0,36.0
23,94.0,37.0
24,100.0,38.0
25,110.0,39.0
26,114.0,40.0
27,117.0,42.0
28,119.0,44.0
29,121.0,47.0
30,115.0,48.0
31,9.0,49.0
32,319.0,50.0
33,156.0,59.0
34,158.0,60.0
35,286.0,61.0
36,374.0,63.0
37,178.0,67.0
38,181.0,70.0
39,201.0,71.0
40,187.0,74.0
41,189.0,75.0
42,544.0,77.0
43,545.0,81.0
44,196.0,82.0
45,202.0,86.0
46,200.0,91.0
47,151.0,93.0
48,464.0,94.0
49,212.0,95.0
50,216.0,97.0
51,219.0,98.0
52,224.0,100.0
53,223.0,101.0
54,475.0,104.0
55,474.0,105.0
56,473.0,106.0
57,228.0,107.0
58,230.0,111.0
59,98.0,112.0
60,238.0,114.0
61,402.0,115.0
62,242.0,116.0
63,118.0,117.0
64,144.0,119.0
65,245.0,120.0
66,250.0,121.0
67,427.0,122.0
68,211.0,123.0
69,517.0,127.0
70,168.0,128.0
71,261.0,129.0
72,399.0,131.0
73,268.0,137.0
74,269.0,139.0
75,190.0,140.0
76,279.0,141.0
77,68.0,142.0
78,249.0,143.0
79,285.0,145.0
80,296.0,148.0
81,297.0,150.0
82,236.0,152.0
83,191.0,153.0
84,470.0,155.0
85,126.0,157.0
86,309.0,159.0
87,313.0,161.0
88,316.0,162.0
89,92.0,163.0
90,323.0,165.0
91,325.0,167.0
92,326.0,170.0
93,329.0,171.0
94,204.0,173.0
95,99.0,177.0
96,332.0,178.0
97,334.0,184.0
98,333.0,185.0
99,240.0,186.0
100,503.0,187.0
101,359.0,188.0
102,360.0,190.0
103,361.0,191.0
104,28.0,192.0
105,376.0,199.0
106,408.0,201.0
107,416.0,203.0
108,493.0,204.0
109,280.0,207.0
110,432.0,208.0
111,171.0,209.0
112,438.0,210.0
113,445.0,212.0
114,448.0,215.0
115,467.0,217.0
116,454.0,219.0
117,253.0,220.0
118,113.0,223.0
119,209.0,224.0
120,210.0,225.0
121,478.0,226.0
122,20.0,228.0
123,372.0,230.0
124,519.0,233.0
125,282.0,234.0
126,132.0,236.0
127,522.0,237.0
128,523.0,239.0
129,524.0,240.0
130,530.0,242.0
131,529.0,243.0
132,451.0,244.0
133,164.0,248.0
134,534.0,252.0
135,533.0,253.0
136,226.0,255.0
137,550.0,257.0
138,237.0,258.0
139,555.0,259.0
140,558.0,260.0
141,559.0,261.0
142,568.0,265.0
143,575.0,266.0
