,CARMA,ENTSOE
0,40.0,0.0
1,43.0,1.0
2,52.0,2.0
3,11325.0,1161.0
4,63.0,3.0
5,91.0,1370.0
6,94.0,6.0
7,98.0,8.0
8,113.0,10.0
9,131.0,555.0
10,150.0,19.0
11,155.0,16.0
12,162.0,20.0
13,166.0,21.0
14,168.0,22.0
15,170.0,1110.0
16,177.0,23.0
17,181.0,24.0
18,192.0,25.0
19,210.0,27.0
20,242.0,34.0
21,251.0,35.0
22,262.0,1830.0
23,265.0,36.0
24,289.0,941.0
25,361.0,45.0
26,367.0,47.0
27,399.0,48.0
28,436.0,52.0
29,454.0,1371.0
30,461.0,55.0
31,486.0,56.0
32,499.0,58.0
33,11464.0,1176.0
34,509.0,59.0
35,15662.0,2124.0
36,530.0,2192.0
37,546.0,60.0
38,558.0,64.0
39,561.0,65.0
40,565.0,66.0
41,566.0,67.0
42,574.0,69.0
43,581.0,63.0
44,597.0,71.0
45,602.0,72.0
46,620.0,73.0
47,625.0,185.0
48,638.0,1664.0
49,670.0,77.0
50,5753.0,584.0
51,684.0,1524.0
52,709.0,1667.0
53,768.0,80.0
54,796.0,81.0
55,801.0,82.0
56,804.0,83.0
57,856.0,86.0
58,891.0,89.0
59,904.0,91.0
60,909.0,92.0
61,958.0,93.0
62,967.0,94.0
63,968.0,95.0
64,969.0,97.0
65,973.0,98.0
66,989.0,101.0
67,993.0,102.0
68,995.0,103.0
69,996.0,104.0
70,1015.0,874.0
71,1017.0,106.0
72,1023.0,109.0
73,1082.0,111.0
74,1095.0,113.0
75,1097.0,114.0
76,1100.0,115.0
77,1104.0,1020.0
78,1115.0,2197.0
79,1120.0,118.0
80,1122.0,119.0
81,1128.0,120.0
82,13973.0,1448.0
83,1134.0,121.0
84,1135.0,122.0
85,1145.0,123.0
86,1206.0,126.0
87,1220.0,128.0
88,1227.0,129.0
89,1229.0,130.0
90,1245.0,131.0
91,1294.0,139.0
92,1310.0,181.0
93,1341.0,142.0
94,1361.0,143.0
95,1367.0,144.0
96,1368.0,145.0
97,1369.0,146.0
98,1380.0,148.0
99,1385.0,149.0
100,1414.0,150.0
101,1442.0,151.0
102,1446.0,152.0
103,1469.0,155.0
104,1480.0,156.0
105,1486.0,157.0
106,1492.0,158.0
107,1534.0,159.0
108,1590.0,160.0
109,1628.0,161.0
110,1655.0,163.0
111,1721.0,166.0
112,1728.0,167.0
113,1732.0,168.0
114,1733.0,165.0
115,1742.0,171.0
116,2247.0,210.0
117,1791.0,173.0
118,1792.0,174.0
119,1825.0,175.0
120,1831.0,995.0
121,1836.0,463.0
122,1913.0,178.0
123,1929.0,182.0
124,1943.0,925.0
125,1957.0,1877.0
126,1971.0,186.0
127,1973.0,187.0
128,1979.0,189.0
129,1980.0,190.0
130,1981.0,191.0
131,1982.0,192.0
132,2001.0,194.0
133,2011.0,197.0
134,2028.0,199.0
135,2143.0,203.0
136,2144.0,204.0
137,2151.0,205.0
138,2178.0,207.0
139,2191.0,208.0
140,2304.0,217.0
141,19723.0,18.0
142,2309.0,218.0
143,2364.0,219.0
144,2389.0,222.0
145,2408.0,848.0
146,2479.0,224.0
147,2481.0,225.0
148,2485.0,226.0
149,2520.0,230.0
150,2540.0,231.0
151,2549.0,232.0
152,2600.0,234.0
153,2640.0,235.0
154,2643.0,236.0
155,2647.0,237.0
156,2666.0,238.0
157,2693.0,170.0
158,2705.0,239.0
159,2712.0,240.0
160,2757.0,1989.0
161,2798.0,245.0
162,2800.0,246.0
163,2853.0,247.0
164,2899.0,1021.0
165,2903.0,248.0
166,2904.0,249.0
167,2906.0,250.0
168,2935.0,252.0
169,2942.0,254.0
170,2979.0,264.0
171,2984.0,266.0
172,2985.0,267.0
173,2986.0,268.0
174,2993.0,269.0
175,3019.0,272.0
176,3037.0,273.0
177,3043.0,274.0
178,3046.0,275.0
179,3082.0,279.0
180,3092.0,278.0
181,3093.0,280.0
182,3106.0,282.0
183,3136.0,284.0
184,3146.0,286.0
185,3151.0,271.0
186,3168.0,287.0
187,3177.0,288.0
188,3370.0,309.0
189,3197.0,290.0
190,3213.0,291.0
191,3220.0,292.0
192,3234.0,293.0
193,3238.0,332.0
194,3241.0,294.0
195,3287.0,299.0
196,3250.0,295.0
197,3258.0,298.0
198,3325.0,301.0
199,3339.0,1954.0
200,3346.0,302.0
201,3357.0,304.0
202,3362.0,305.0
203,3363.0,306.0
204,3364.0,307.0
205,3368.0,308.0
206,3373.0,1238.0
207,3381.0,311.0
208,3384.0,312.0
209,3391.0,313.0
210,3395.0,314.0
211,3396.0,315.0
212,3400.0,316.0
213,3431.0,317.0
214,3436.0,318.0
215,3444.0,319.0
216,3458.0,320.0
217,3478.0,322.0
218,3493.0,323.0
219,3510.0,324.0
220,3518.0,361.0
221,3529.0,326.0
222,3563.0,1367.0
223,3597.0,1942.0
224,3621.0,1695.0
225,3633.0,329.0
226,3672.0,330.0
227,3678.0,331.0
228,3688.0,2076.0
229,3760.0,334.0
230,3765.0,1749.0
