,CARMA,WRI
0,39.0,904.0
1,42.0,12.0
2,72.0,16.0
3,74.0,18.0
4,89.0,197.0
5,173.0,3724.0
6,175.0,3725.0
7,201.0,35.0
8,202.0,36.0
9,206.0,37.0
10,244.0,41.0
11,341.0,53.0
12,382.0,59.0
13,402.0,67.0
14,439.0,69.0
15,450.0,71.0
16,457.0,1315.0
17,497.0,83.0
18,498.0,86.0
19,501.0,88.0
20,503.0,89.0
21,505.0,90.0
22,506.0,91.0
23,507.0,92.0
24,521.0,100.0
25,531.0,99.0
26,549.0,103.0
27,570.0,107.0
28,626.0,114.0
29,777.0,247.0
30,780.0,125.0
31,782.0,126.0
32,809.0,132.0
33,810.0,135.0
34,813.0,138.0
35,825.0,3312.0
36,854.0,144.0
37,905.0,151.0
38,918.0,153.0
39,988.0,1150.0
40,1050.0,169.0
41,1088.0,176.0
42,1147.0,188.0
43,1148.0,189.0
44,1169.0,196.0
45,1219.0,208.0
46,1257.0,218.0
47,1291.0,226.0
48,1301.0,228.0
49,1330.0,259.0
50,1386.0,1848.0
51,1417.0,252.0
52,1525.0,271.0
53,1551.0,276.0
54,1556.0,281.0
55,1558.0,2527.0
56,1580.0,285.0
57,1596.0,287.0
58,1597.0,290.0
59,1599.0,291.0
60,1632.0,299.0
61,1650.0,301.0
62,1656.0,302.0
63,1681.0,313.0
64,1797.0,323.0
65,1846.0,331.0
66,1848.0,332.0
67,1849.0,2580.0
68,1857.0,333.0
69,1889.0,338.0
70,1892.0,339.0
71,1910.0,344.0
72,2002.0,357.0
73,2004.0,362.0
74,2010.0,370.0
75,2065.0,383.0
76,2084.0,391.0
77,2194.0,405.0
78,2199.0,408.0
79,2213.0,411.0
80,2233.0,2624.0
81,2240.0,418.0
82,2278.0,421.0
83,2281.0,422.0
84,2319.0,425.0
85,2329.0,428.0
86,2345.0,437.0
87,2347.0,436.0
88,2369.0,433.0
89,2384.0,438.0
90,2390.0,444.0
91,2407.0,448.0
92,2414.0,452.0
93,2416.0,453.0
94,2417.0,454.0
95,2419.0,455.0
96,2449.0,456.0
97,2492.0,463.0
98,2494.0,465.0
99,2545.0,3091.0
100,2557.0,472.0
101,2613.0,192.0
102,2662.0,501.0
103,2675.0,511.0
104,2739.0,515.0
105,2741.0,516.0
106,2748.0,521.0
107,2796.0,523.0
108,2817.0,524.0
109,2834.0,528.0
110,2882.0,541.0
111,2890.0,547.0
112,2894.0,480.0
113,2897.0,558.0
114,2958.0,576.0
115,2960.0,578.0
116,2961.0,93.0
117,2974.0,580.0
118,2980.0,582.0
119,2982.0,95.0
120,2983.0,583.0
121,2988.0,586.0
122,3021.0,595.0
123,3027.0,597.0
124,3036.0,1651.0
125,3042.0,601.0
126,3133.0,609.0
127,3135.0,987.0
128,3142.0,612.0
129,3143.0,613.0
130,3147.0,615.0
131,3200.0,624.0
132,3205.0,625.0
133,3208.0,626.0
134,3246.0,638.0
135,3264.0,2419.0
136,3267.0,647.0
137,3304.0,654.0
138,3305.0,655.0
139,3328.0,658.0
140,3347.0,660.0
141,3353.0,661.0
142,3398.0,2937.0
143,3417.0,666.0
144,3439.0,669.0
145,3448.0,674.0
146,3471.0,676.0
147,3486.0,679.0
148,3487.0,680.0
149,3489.0,681.0
150,3507.0,684.0
151,3523.0,3238.0
152,3547.0,686.0
153,3593.0,3742.0
154,3628.0,694.0
155,3657.0,752.0
156,3716.0,709.0
157,3721.0,711.0
158,3779.0,726.0
159,3786.0,728.0
160,3889.0,757.0
161,3945.0,776.0
162,3976.0,797.0
163,3977.0,798.0
164,4013.0,804.0
165,4025.0,808.0
166,4048.0,1163.0
167,4058.0,3239.0
168,4116.0,821.0
169,4165.0,833.0
170,4177.0,834.0
171,4198.0,839.0
172,4218.0,849.0
173,4224.0,852.0
174,4227.0,2526.0
175,4233.0,855.0
176,4235.0,858.0
177,4305.0,894.0
178,4313.0,899.0
179,4316.0,902.0
180,4333.0,909.0
181,4376.0,139.0
182,4379.0,915.0
183,4391.0,1210.0
184,4392.0,2711.0
185,4398.0,918.0
186,4412.0,919.0
187,4433.0,924.0
188,4492.0,940.0
189,4501.0,944.0
190,4508.0,945.0
191,4569.0,960.0
192,4580.0,961.0
193,4647.0,966.0
194,4662.0,968.0
195,4682.0,1035.0
196,4707.0,976.0
197,4717.0,978.0
198,4835.0,991.0
199,4903.0,1004.0
200,4920.0,1016.0
201,4941.0,1019.0
202,4967.0,1030.0
203,4994.0,1033.0
204,5001.0,1044.0
205,5006.0,1050.0
206,5007.0,1055.0
207,5047.0,1065.0
208,5059.0,3180.0
209,5075.0,1068.0
210,5080.0,1070.0
211,5281.0,1094.0
212,5351.0,786.0
213,5463.0,1107.0
214,5465.0,1108.0
215,5492.0,104.0
216,5517.0,1114.0
217,5537.0,1117.0
218,5538.0,2581.0
219,5540.0,1118.0
220,5541.0,1119.0
221,5649.0,1131.0
222,5691.0,1139.0
223,5692.0,1140.0
224,5730.0,1146.0
225,5756.0,1153.0
226,5765.0,1154.0
227,5812.0,1158.0
228,5850.0,1170.0
229,5887.0,1178.0
230,5902.0,791.0
231,5904.0,1187.0
232,6097.0,1205.0
233,6098.0,1207.0
234,6187.0,1220.0
235,6192.0,1225.0
236,6195.0,1241.0
237,6198.0,2680.0
238,6200.0,1227.0
239,6286.0,1231.0
240,6290.0,1233.0
241,6495.0,553.0
242,6499.0,1257.0
243,6544.0,1260.0
244,6558.0,1266.0
245,6566.0,1267.0
246,6590.0,1270.0
247,6619.0,1276.0
248,6884.0,1301.0
249,6898.0,1316.0
250,6905.0,1318.0
251,6960.0,1326.0
252,7051.0,1345.0
253,7057.0,1416.0
254,7142.0,1355.0
255,7172.0,1361.0
256,7174.0,1365.0
257,7179.0,1372.0
258,7181.0,1374.0
259,7183.0,1379.0
260,7185.0,1383.0
261,7365.0,1401.0
262,7369.0,1402.0
263,7403.0,1406.0
264,7422.0,1407.0
265,7428.0,1408.0
266,7450.0,1410.0
267,7456.0,1412.0
268,7483.0,1106.0
269,7538.0,1423.0
270,7560.0,1427.0
271,7583.0,1431.0
272,7599.0,1925.0
273,7654.0,1436.0
274,7725.0,1446.0
275,7734.0,1451.0
276,7744.0,1452.0
277,7747.0,1453.0
278,7856.0,1460.0
279,7966.0,2884.0
280,8030.0,1488.0
281,8115.0,1494.0
282,8137.0,1502.0
283,8138.0,1507.0
284,8139.0,1508.0
285,8140.0,1509.0
286,8343.0,1542.0
287,8369.0,2287.0
288,8379.0,3207.0
289,8462.0,1579.0
290,8506.0,1589.0
291,8511.0,1591.0
292,8592.0,1613.0
293,8639.0,1624.0
294,8654.0,1629.0
295,8703.0,1634.0
296,8775.0,1646.0
297,8778.0,1648.0
298,9034.0,1670.0
299,9099.0,1673.0
300,9103.0,2583.0
301,9424.0,1700.0
302,9486.0,1711.0
303,9497.0,1715.0
304,9499.0,1716.0
305,9511.0,1721.0
306,9519.0,1726.0
307,9547.0,1729.0
308,9549.0,1731.0
309,9705.0,1741.0
310,9879.0,1761.0
311,9970.0,1770.0
312,10236.0,1799.0
313,10259.0,1803.0
314,10276.0,1808.0
315,10278.0,1811.0
316,10381.0,1826.0
317,10413.0,1798.0
318,10500.0,1837.0
319,10558.0,1845.0
320,10605.0,1852.0
321,10660.0,1858.0
322,10754.0,1871.0
323,10762.0,1872.0
324,10838.0,1882.0
325,10841.0,1883.0
326,10892.0,1890.0
327,10902.0,1896.0
328,10921.0,1908.0
329,10945.0,1911.0
330,10948.0,1913.0
331,10954.0,1795.0
332,10959.0,1909.0
333,10961.0,1916.0
334,10972.0,1923.0
335,10973.0,1258.0
336,10974.0,1929.0
337,11024.0,1943.0
338,11038.0,1945.0
339,11057.0,1948.0
340,11111.0,1957.0
341,11121.0,1965.0
342,11139.0,1969.0
343,11163.0,1986.0
344,11181.0,1989.0
345,11211.0,1990.0
346,11247.0,1994.0
347,11273.0,2885.0
