,ENTSOE,GEO
0,3.0,2.0
1,4.0,3.0
2,6.0,6.0
3,7.0,5.0
4,10.0,9.0
5,11.0,8.0
6,17.0,12.0
7,18.0,13.0
8,21.0,11.0
9,23.0,14.0
10,26.0,15.0
11,1289.0,662.0
12,45.0,72.0
13,48.0,20.0
14,50.0,22.0
15,54.0,25.0
16,55.0,28.0
17,57.0,29.0
18,58.0,30.0
19,60.0,31.0
20,61.0,286.0
21,62.0,34.0
22,65.0,38.0
23,68.0,35.0
24,69.0,36.0
25,72.0,37.0
26,74.0,40.0
27,79.0,43.0
28,80.0,47.0
29,82.0,48.0
30,83.0,50.0
31,85.0,51.0
32,93.0,55.0
33,95.0,60.0
34,96.0,61.0
35,105.0,62.0
36,107.0,63.0
37,110.0,64.0
38,111.0,856.0
39,147.0,79.0
40,123.0,70.0
41,131.0,73.0
42,132.0,582.0
43,151.0,584.0
44,155.0,317.0
45,156.0,84.0
46,157.0,86.0
47,158.0,152.0
48,160.0,92.0
49,162.0,98.0
50,164.0,100.0
51,166.0,101.0
52,168.0,102.0
53,1187.0,613.0
54,174.0,105.0
55,176.0,109.0
56,177.0,97.0
57,1355.0,686.0
58,200.0,121.0
59,217.0,126.0
60,218.0,128.0
61,220.0,131.0
62,222.0,132.0
63,236.0,141.0
64,238.0,142.0
65,246.0,148.0
66,250.0,287.0
67,265.0,153.0
68,269.0,154.0
69,279.0,158.0
70,285.0,288.0
71,299.0,161.0
72,305.0,167.0
73,317.0,173.0
74,320.0,177.0
75,329.0,861.0
76,331.0,189.0
77,332.0,190.0
78,335.0,195.0
79,338.0,196.0
80,342.0,281.0
81,343.0,198.0
82,344.0,304.0
83,356.0,201.0
84,358.0,203.0
85,359.0,206.0
86,361.0,207.0
87,372.0,219.0
88,374.0,66.0
89,375.0,209.0
90,376.0,210.0
91,382.0,211.0
92,384.0,213.0
93,392.0,215.0
94,396.0,218.0
95,399.0,221.0
96,402.0,223.0
97,408.0,226.0
98,410.0,227.0
99,419.0,235.0
100,426.0,241.0
101,427.0,245.0
102,434.0,250.0
103,439.0,255.0
104,440.0,256.0
105,442.0,257.0
106,448.0,261.0
107,450.0,262.0
108,456.0,269.0
109,467.0,869.0
110,471.0,1042.0
111,560.0,334.0
112,476.0,279.0
113,480.0,299.0
114,485.0,300.0
115,489.0,338.0
116,513.0,1022.0
117,523.0,570.0
118,524.0,308.0
119,526.0,310.0
120,535.0,328.0
121,542.0,329.0
122,543.0,331.0
123,544.0,330.0
124,555.0,333.0
125,556.0,163.0
126,558.0,336.0
127,559.0,271.0
128,596.0,348.0
129,597.0,347.0
130,600.0,640.0
131,601.0,283.0
132,606.0,272.0
133,609.0,351.0
134,628.0,356.0
135,629.0,357.0
136,646.0,360.0
137,648.0,362.0
138,649.0,363.0
139,665.0,368.0
140,666.0,369.0
141,667.0,373.0
142,679.0,1036.0
143,682.0,639.0
144,685.0,376.0
145,686.0,377.0
146,689.0,378.0
147,691.0,379.0
148,692.0,380.0
149,702.0,382.0
150,712.0,384.0
151,718.0,388.0
152,723.0,396.0
153,727.0,401.0
154,730.0,402.0
155,736.0,403.0
156,743.0,407.0
157,756.0,690.0
158,762.0,979.0
159,765.0,409.0
160,768.0,273.0
161,769.0,385.0
162,781.0,414.0
163,783.0,415.0
164,788.0,420.0
165,798.0,280.0
166,804.0,424.0
167,809.0,426.0
168,811.0,427.0
169,815.0,428.0
170,816.0,431.0
171,817.0,430.0
172,831.0,434.0
173,849.0,133.0
174,854.0,810.0
175,858.0,987.0
176,860.0,480.0
177,862.0,725.0
178,864.0,441.0
179,869.0,442.0
180,875.0,411.0
181,876.0,435.0
182,885.0,447.0
183,888.0,449.0
184,906.0,450.0
185,908.0,454.0
186,912.0,458.0
187,913.0,460.0
188,935.0,468.0
189,947.0,465.0
190,958.0,475.0
191,959.0,478.0
192,960.0,853.0
193,961.0,479.0
194,962.0,481.0
195,963.0,234.0
196,966.0,483.0
197,971.0,484.0
198,972.0,485.0
199,979.0,489.0
200,985.0,492.0
201,997.0,110.0
202,998.0,558.0
203,999.0,666.0
204,1003.0,501.0
205,1007.0,503.0
206,1011.0,506.0
207,1012.0,507.0
208,1014.0,510.0
209,1018.0,511.0
210,1019.0,515.0
211,1021.0,519.0
212,1023.0,150.0
213,1024.0,265.0
214,1027.0,344.0
215,1028.0,516.0
216,1032.0,806.0
217,1034.0,942.0
218,1037.0,1032.0
219,1038.0,1047.0
220,1039.0,628.0
221,1040.0,521.0
222,1041.0,525.0
223,1042.0,529.0
224,1045.0,530.0
225,1047.0,533.0
226,1048.0,524.0
227,1066.0,535.0
228,1068.0,536.0
229,1070.0,542.0
230,1088.0,545.0
231,1099.0,554.0
232,1106.0,560.0
233,1111.0,562.0
234,1113.0,564.0
235,1115.0,290.0
236,1117.0,103.0
237,1120.0,306.0
238,1122.0,567.0
239,1125.0,477.0
240,1130.0,575.0
241,1131.0,576.0
242,1135.0,578.0
243,1147.0,588.0
244,1151.0,593.0
245,1161.0,595.0
246,1162.0,596.0
247,1170.0,601.0
248,1173.0,602.0
249,1177.0,139.0
250,1181.0,605.0
251,1182.0,606.0
252,1188.0,614.0
253,1191.0,615.0
254,1193.0,617.0
255,1198.0,625.0
256,1199.0,626.0
257,1212.0,630.0
258,1216.0,634.0
259,1217.0,553.0
260,1219.0,635.0
261,1225.0,638.0
262,1230.0,643.0
263,1232.0,644.0
264,1235.0,645.0
265,1237.0,646.0
266,1247.0,649.0
267,1249.0,589.0
268,1253.0,651.0
269,1255.0,653.0
270,1261.0,455.0
271,1264.0,657.0
272,1265.0,658.0
273,1290.0,663.0
274,1309.0,597.0
275,1316.0,672.0
276,1320.0,943.0
277,1321.0,675.0
278,1347.0,684.0
279,1350.0,685.0
280,1352.0,668.0
281,1356.0,687.0
282,1362.0,688.0
283,1365.0,693.0
284,1367.0,691.0
285,1370.0,520.0
286,1391.0,673.0
287,1406.0,698.0
288,1410.0,701.0
289,1411.0,702.0
290,1426.0,709.0
291,1429.0,276.0
292,1430.0,710.0
293,1432.0,711.0
294,1433.0,712.0
295,1457.0,715.0
296,1459.0,716.0
297,1471.0,722.0
298,1474.0,723.0
299,1484.0,282.0
300,1491.0,728.0
301,1492.0,729.0
302,1507.0,735.0
303,1508.0,736.0
304,1509.0,737.0
305,1513.0,743.0
306,1517.0,745.0
307,1522.0,746.0
308,1533.0,747.0
309,1534.0,291.0
310,1535.0,750.0
311,1536.0,752.0
312,1538.0,753.0
313,1539.0,318.0
314,1544.0,749.0
315,1547.0,755.0
316,1548.0,757.0
317,1549.0,744.0
318,1553.0,760.0
319,1558.0,761.0
320,1563.0,762.0
321,1569.0,332.0
322,1571.0,387.0
323,1573.0,623.0
324,1574.0,764.0
325,1575.0,765.0
326,1577.0,734.0
327,1579.0,721.0
328,1583.0,292.0
329,1593.0,314.0
330,1598.0,775.0
331,2164.0,777.0
332,1609.0,778.0
333,1614.0,780.0
334,1616.0,783.0
335,1619.0,790.0
336,1622.0,791.0
337,1623.0,792.0
338,1628.0,793.0
339,1631.0,794.0
340,1633.0,796.0
341,1634.0,797.0
342,1645.0,801.0
343,1648.0,804.0
344,1659.0,805.0
345,1660.0,787.0
346,1662.0,812.0
347,1663.0,813.0
348,1669.0,841.0
349,1673.0,837.0
350,1685.0,816.0
351,1693.0,817.0
352,1696.0,820.0
353,1697.0,822.0
354,1698.0,825.0
355,1699.0,897.0
356,1701.0,826.0
357,1703.0,829.0
358,1705.0,23.0
359,1706.0,832.0
360,1719.0,842.0
361,1722.0,293.0
362,1724.0,844.0
363,1736.0,850.0
364,1739.0,851.0
365,1740.0,854.0
366,1743.0,857.0
367,1749.0,284.0
368,1757.0,860.0
369,1762.0,867.0
370,1764.0,928.0
371,1770.0,294.0
372,1771.0,871.0
373,1773.0,872.0
374,1775.0,875.0
375,1778.0,876.0
376,1780.0,877.0
377,1786.0,878.0
378,1805.0,882.0
379,1819.0,892.0
380,1820.0,891.0
381,1831.0,818.0
382,1832.0,823.0
383,1841.0,901.0
384,1842.0,929.0
385,1852.0,904.0
386,1858.0,906.0
387,1861.0,907.0
388,1862.0,908.0
389,1863.0,909.0
390,1865.0,912.0
391,1878.0,915.0
392,1887.0,918.0
393,1894.0,920.0
394,1903.0,921.0
395,1912.0,925.0
396,1920.0,138.0
397,1939.0,295.0
398,1940.0,933.0
399,1942.0,951.0
400,1943.0,367.0
401,1945.0,890.0
402,1947.0,938.0
403,1952.0,941.0
404,1964.0,307.0
405,1976.0,949.0
406,1981.0,944.0
407,1991.0,217.0
408,1994.0,184.0
409,1996.0,462.0
410,2001.0,807.0
411,2002.0,961.0
412,2012.0,954.0
413,2013.0,955.0
414,2023.0,958.0
415,2028.0,886.0
416,2031.0,962.0
417,2032.0,963.0
418,2039.0,967.0
419,2075.0,971.0
420,2086.0,972.0
421,2091.0,974.0
422,2093.0,977.0
423,2116.0,986.0
424,2118.0,988.0
425,2123.0,990.0
426,2127.0,993.0
427,2128.0,996.0
428,2140.0,1010.0
429,2144.0,1002.0
430,2150.0,1003.0
431,2154.0,1008.0
432,2156.0,1011.0
433,2157.0,1016.0
434,2158.0,267.0
435,2160.0,1017.0
436,2161.0,1019.0
437,2162.0,1020.0
438,2165.0,1028.0
439,2167.0,1030.0
440,2168.0,1031.0
441,2180.0,1035.0
442,2182.0,1034.0
443,2183.0,1037.0
444,2189.0,505.0
445,2191.0,1044.0
446,2193.0,33.0
447,2198.0,68.0
448,2199.0,200.0
449,2200.0,537.0
450,2201.0,556.0
451,2202.0,1041.0
452,2203.0,1049.0
