,ENTSOE,OPSD
0,0.0,4922.0
1,1.0,16.0
2,2.0,18.0
3,4.0,21.0
4,9.0,34.0
5,23.0,51.0
6,26.0,61.0
7,48.0,129.0
8,53.0,141.0
9,55.0,143.0
10,56.0,147.0
11,59.0,149.0
12,63.0,171.0
13,1228.0,2841.0
14,68.0,168.0
15,72.0,176.0
16,77.0,198.0
17,78.0,216.0
18,81.0,241.0
19,88.0,271.0
20,90.0,276.0
21,91.0,280.0
22,93.0,286.0
23,94.0,287.0
24,108.0,292.0
25,109.0,295.0
26,111.0,311.0
27,115.0,315.0
28,122.0,329.0
29,123.0,330.0
30,124.0,338.0
31,131.0,366.0
32,148.0,397.0
33,150.0,409.0
34,154.0,415.0
35,155.0,416.0
36,156.0,421.0
37,159.0,434.0
38,161.0,454.0
39,167.0,469.0
40,173.0,477.0
41,175.0,482.0
42,176.0,485.0
43,341.0,929.0
44,199.0,571.0
45,201.0,573.0
46,206.0,599.0
47,207.0,601.0
48,217.0,620.0
49,219.0,628.0
50,221.0,631.0
51,1789.0,4153.0
52,231.0,644.0
53,233.0,649.0
54,234.0,650.0
55,235.0,654.0
56,236.0,655.0
57,237.0,656.0
58,245.0,674.0
59,247.0,682.0
60,249.0,690.0
61,268.0,724.0
62,278.0,752.0
63,284.0,773.0
64,290.0,785.0
65,292.0,796.0
66,301.0,825.0
67,303.0,828.0
68,304.0,833.0
69,312.0,1116.0
70,319.0,853.0
71,321.0,861.0
72,322.0,865.0
73,323.0,867.0
74,328.0,900.0
75,330.0,910.0
76,331.0,914.0
77,334.0,918.0
78,337.0,924.0
79,342.0,933.0
80,352.0,951.0
81,355.0,960.0
82,357.0,965.0
83,358.0,979.0
84,360.0,981.0
85,1302.0,3026.0
86,371.0,1119.0
87,373.0,1032.0
88,374.0,1034.0
89,375.0,1048.0
90,383.0,1082.0
91,384.0,1081.0
92,391.0,1106.0
93,398.0,1122.0
94,401.0,1126.0
95,403.0,1135.0
96,404.0,1136.0
97,405.0,1137.0
98,407.0,1156.0
99,410.0,1160.0
100,411.0,1161.0
101,415.0,1169.0
102,418.0,1173.0
103,426.0,1225.0
104,427.0,1235.0
105,433.0,1238.0
106,438.0,1249.0
107,439.0,1254.0
108,440.0,1256.0
109,441.0,1257.0
110,451.0,1275.0
111,455.0,1284.0
112,457.0,1291.0
113,468.0,1299.0
114,479.0,1320.0
115,484.0,1321.0
116,512.0,4810.0
117,517.0,1374.0
118,518.0,1375.0
119,520.0,1379.0
120,522.0,1382.0
121,523.0,1381.0
122,525.0,1392.0
123,526.0,2607.0
124,528.0,2952.0
125,534.0,1420.0
126,535.0,1421.0
127,536.0,1422.0
128,537.0,1423.0
129,538.0,1424.0
130,542.0,1431.0
131,543.0,1432.0
132,553.0,1458.0
133,555.0,815.0
134,558.0,1472.0
135,570.0,1529.0
136,595.0,1569.0
137,596.0,1570.0
138,597.0,2596.0
139,598.0,2597.0
140,599.0,2822.0
141,600.0,1581.0
142,605.0,1596.0
143,608.0,1603.0
144,627.0,1626.0
145,629.0,1627.0
146,639.0,1633.0
147,646.0,1641.0
148,647.0,4842.0
149,648.0,1650.0
150,658.0,1667.0
151,664.0,1671.0
152,665.0,1678.0
153,666.0,1687.0
154,667.0,1689.0
155,673.0,1706.0
156,679.0,1236.0
157,684.0,1736.0
158,685.0,1755.0
159,686.0,1756.0
160,687.0,1757.0
161,688.0,1765.0
162,690.0,1768.0
163,691.0,1769.0
164,701.0,1788.0
165,709.0,1793.0
166,710.0,1791.0
167,717.0,1812.0
168,722.0,1837.0
169,726.0,1849.0
170,735.0,1854.0
171,742.0,1869.0
172,745.0,1871.0
173,752.0,1883.0
174,763.0,1902.0
175,761.0,1895.0
176,764.0,1914.0
177,768.0,1924.0
178,771.0,1945.0
179,782.0,1959.0
180,787.0,1973.0
181,797.0,1982.0
182,799.0,1622.0
183,800.0,4899.0
184,803.0,1986.0
185,804.0,1792.0
186,808.0,1996.0
187,810.0,1155.0
188,813.0,2004.0
189,814.0,2005.0
190,832.0,2058.0
191,838.0,2062.0
192,863.0,2087.0
193,867.0,2094.0
194,870.0,2097.0
195,874.0,2103.0
196,881.0,2121.0
197,886.0,2141.0
198,887.0,2143.0
199,904.0,2190.0
200,1437.0,4750.0
201,910.0,4552.0
202,912.0,2237.0
203,913.0,2241.0
204,915.0,2242.0
205,916.0,2249.0
206,917.0,2250.0
207,933.0,2267.0
208,934.0,2275.0
209,940.0,2288.0
210,941.0,90.0
211,945.0,2311.0
212,956.0,2336.0
213,957.0,2337.0
214,958.0,4029.0
215,960.0,2341.0
216,961.0,2345.0
217,967.0,2351.0
218,968.0,2353.0
219,975.0,2358.0
220,976.0,2360.0
221,977.0,2363.0
222,979.0,1740.0
223,995.0,483.0
224,996.0,2550.0
225,997.0,3076.0
226,998.0,3433.0
227,1001.0,2399.0
228,1002.0,2590.0
229,1005.0,2405.0
230,1009.0,2409.0
231,1010.0,2411.0
232,1019.0,2428.0
233,1021.0,689.0
234,1023.0,1429.0
235,1024.0,1536.0
236,1026.0,2423.0
237,1029.0,3803.0
238,1030.0,2408.0
239,1031.0,4375.0
240,1032.0,4400.0
241,1034.0,4787.0
242,1035.0,4849.0
243,1036.0,4902.0
244,1040.0,2437.0
245,1049.0,2454.0
246,1054.0,2457.0
247,1063.0,2468.0
248,1064.0,2470.0
249,1066.0,2482.0
250,1068.0,2490.0
251,1074.0,2495.0
252,1076.0,2499.0
253,1078.0,2509.0
254,1084.0,2513.0
255,1087.0,2519.0
256,1104.0,2551.0
257,1105.0,2553.0
258,1111.0,2573.0
259,1113.0,2578.0
260,1115.0,2581.0
261,1117.0,2584.0
262,1120.0,2586.0
263,1123.0,2588.0
264,1128.0,641.0
265,1129.0,2599.0
266,1133.0,2600.0
267,1145.0,2647.0
268,1160.0,2675.0
269,1162.0,2679.0
270,1168.0,2706.0
271,1171.0,2711.0
272,1175.0,2715.0
273,1179.0,2717.0
274,1180.0,2718.0
275,1186.0,2751.0
276,1189.0,2752.0
277,1196.0,2775.0
278,1197.0,2778.0
279,1208.0,2798.0
280,1210.0,2803.0
281,1217.0,2467.0
282,1218.0,2813.0
283,1223.0,2820.0
284,1229.0,2844.0
285,1230.0,2847.0
286,1231.0,2849.0
287,1233.0,2853.0
288,1237.0,2893.0
289,1247.0,2924.0
290,1249.0,2934.0
291,1251.0,2936.0
292,1253.0,2940.0
293,1259.0,2960.0
294,1263.0,2962.0
295,1266.0,2964.0
296,1281.0,2975.0
297,1285.0,2977.0
298,1287.0,2980.0
299,1288.0,2981.0
300,1291.0,2985.0
301,1293.0,2988.0
302,1294.0,2990.0
303,1295.0,2994.0
304,1303.0,3027.0
305,1307.0,3059.0
306,1312.0,3068.0
307,1314.0,3088.0
308,1315.0,3091.0
309,1316.0,3092.0
310,1318.0,3099.0
311,1319.0,3101.0
312,1321.0,3105.0
313,1322.0,3106.0
314,1328.0,3122.0
315,1344.0,3146.0
316,1345.0,3150.0
317,1348.0,3164.0
318,1350.0,3167.0
319,1351.0,2552.0
320,1354.0,3172.0
321,1365.0,3180.0
322,1388.0,3955.0
323,1399.0,3232.0
324,1404.0,3249.0
325,1405.0,3250.0
326,1408.0,3264.0
327,1409.0,3266.0
328,1424.0,3283.0
329,1425.0,3286.0
330,1427.0,3287.0
331,1428.0,3288.0
332,1430.0,3290.0
333,1431.0,3291.0
334,1455.0,3317.0
335,1457.0,3319.0
336,1464.0,3360.0
337,1472.0,3399.0
338,1482.0,3434.0
339,1490.0,3441.0
340,1492.0,3447.0
341,1494.0,3448.0
342,1517.0,3523.0
343,1519.0,3533.0
344,1521.0,3530.0
345,1533.0,3540.0
346,1535.0,3543.0
347,1537.0,3545.0
348,1538.0,3556.0
349,1539.0,3557.0
350,1540.0,3561.0
351,1543.0,3570.0
352,1546.0,3575.0
353,1548.0,3579.0
354,1552.0,3585.0
355,1557.0,3596.0
356,1559.0,3600.0
357,1563.0,3615.0
358,1564.0,3617.0
359,1568.0,1465.0
360,1569.0,1732.0
361,1570.0,1811.0
362,1571.0,2055.0
363,1572.0,2765.0
364,1576.0,1131.0
365,1578.0,3655.0
366,1582.0,3669.0
367,1585.0,3697.0
368,1589.0,3698.0
369,1592.0,3709.0
370,2162.0,3776.0
371,1608.0,3778.0
372,1609.0,3784.0
373,1610.0,3787.0
374,1611.0,3786.0
375,1612.0,3788.0
376,1613.0,3791.0
377,1618.0,3808.0
378,1621.0,3810.0
379,1627.0,3818.0
380,1628.0,3819.0
381,1630.0,3822.0
382,1632.0,3826.0
383,1633.0,3828.0
384,1642.0,1501.0
385,1644.0,3841.0
386,1646.0,3850.0
387,1647.0,3851.0
388,1649.0,3854.0
389,1650.0,3855.0
390,1658.0,3865.0
391,1660.0,1278.0
392,1661.0,3883.0
393,1662.0,3884.0
394,1668.0,3900.0
395,1671.0,3901.0
396,1672.0,3902.0
397,1673.0,3903.0
398,1675.0,3904.0
399,1677.0,2755.0
400,1678.0,3905.0
401,1684.0,1132.0
402,1692.0,860.0
403,1694.0,3917.0
404,1695.0,3920.0
405,1696.0,3921.0
406,1698.0,3922.0
407,1699.0,3923.0
408,1700.0,3925.0
409,1704.0,1487.0
410,1705.0,3938.0
411,1713.0,3843.0
412,1718.0,3976.0
413,1720.0,3980.0
414,1721.0,3981.0
415,1723.0,3983.0
416,1727.0,3998.0
417,1728.0,3999.0
418,1733.0,1213.0
419,1735.0,4018.0
420,1738.0,4021.0
421,1739.0,4030.0
422,1741.0,4054.0
423,1742.0,4058.0
424,1744.0,4060.0
425,1748.0,4073.0
426,1756.0,4080.0
427,1759.0,4087.0
428,1763.0,4101.0
429,1769.0,4113.0
430,1770.0,4115.0
431,1773.0,4121.0
432,1774.0,4122.0
433,1808.0,4169.0
434,1784.0,4128.0
435,1785.0,4129.0
436,1803.0,4155.0
437,1804.0,4156.0
438,1806.0,4167.0
439,1807.0,4168.0
440,1812.0,4173.0
441,1818.0,1134.0
442,1821.0,4188.0
443,1823.0,4190.0
444,1825.0,4191.0
445,1827.0,4192.0
446,1830.0,4204.0
447,1831.0,4205.0
448,1832.0,4206.0
449,1840.0,4220.0
450,1841.0,4221.0
451,1850.0,4239.0
452,1857.0,4246.0
453,1860.0,4249.0
454,1870.0,4263.0
455,1874.0,4265.0
456,1877.0,4270.0
457,1886.0,4282.0
458,1893.0,4283.0
459,1894.0,4284.0
460,1902.0,4299.0
461,1903.0,4302.0
462,1904.0,4304.0
463,1907.0,4311.0
464,1909.0,4316.0
465,1912.0,4321.0
466,1914.0,4334.0
467,1927.0,4353.0
468,1930.0,4359.0
469,1939.0,4367.0
470,1942.0,1214.0
471,1949.0,4384.0
472,1950.0,4389.0
473,1952.0,4401.0
474,1960.0,4407.0
475,1963.0,1357.0
476,1964.0,4412.0
477,1965.0,4420.0
478,1969.0,4424.0
479,1970.0,4426.0
480,1971.0,4432.0
481,1979.0,4448.0
