,ENTSOE,WEPP
0,0.0,70.0
1,1.0,76.0
2,2.0,94.0
3,3.0,106.0
4,4.0,110.0
5,6.0,157.0
6,7.0,30295.0
7,8.0,166.0
8,9.0,165.0
9,10.0,190.0
10,12.0,21335.0
11,13.0,224.0
12,15.0,7231.0
13,16.0,10472.0
14,18.0,254.0
15,19.0,256.0
16,20.0,273.0
17,21.0,279.0
18,22.0,282.0
19,23.0,306.0
20,24.0,312.0
21,25.0,326.0
22,26.0,15763.0
23,27.0,349.0
24,28.0,359.0
25,30.0,15.0
26,31.0,387.0
27,33.0,393.0
28,34.0,396.0
29,35.0,410.0
30,36.0,432.0
31,39.0,474.0
32,42.0,563.0
33,45.0,585.0
34,46.0,592.0
35,47.0,593.0
36,48.0,634.0
37,50.0,6665.0
38,52.0,692.0
39,2019.0,29241.0
40,55.0,729.0
41,56.0,765.0
42,58.0,16785.0
43,59.0,785.0
44,60.0,831.0
45,61.0,841.0
46,64.0,851.0
47,65.0,855.0
48,66.0,862.0
49,67.0,865.0
50,69.0,880.0
51,70.0,918.0
52,71.0,923.0
53,72.0,931.0
54,73.0,963.0
55,74.0,972.0
56,76.0,1023.0
57,77.0,1033.0
58,80.0,1161.0
59,81.0,1200.0
60,82.0,1211.0
61,83.0,1219.0
62,85.0,1265.0
63,86.0,1301.0
64,87.0,1311.0
65,88.0,1346.0
66,89.0,1349.0
67,91.0,1371.0
68,92.0,1377.0
69,93.0,1427.0
70,94.0,1439.0
71,95.0,1441.0
72,96.0,1442.0
73,274.0,4638.0
74,98.0,1447.0
75,101.0,1473.0
76,102.0,1480.0
77,103.0,1488.0
78,104.0,1489.0
79,105.0,36.0
80,106.0,1530.0
81,109.0,1541.0
82,111.0,1627.0
83,2053.0,29570.0
84,113.0,1645.0
85,114.0,1648.0
86,115.0,1656.0
87,116.0,1678.0
88,118.0,1697.0
89,119.0,1701.0
90,120.0,1707.0
91,121.0,1718.0
92,122.0,1720.0
93,123.0,1732.0
94,124.0,17950.0
95,125.0,1779.0
96,126.0,1848.0
97,127.0,1857.0
98,128.0,1866.0
99,129.0,1875.0
100,130.0,1879.0
101,131.0,1908.0
102,132.0,1911.0
103,139.0,1993.0
104,142.0,2073.0
105,143.0,2088.0
106,144.0,2101.0
107,145.0,2102.0
108,146.0,20580.0
109,148.0,2119.0
110,149.0,2132.0
111,150.0,2174.0
112,151.0,2209.0
113,152.0,2216.0
114,153.0,2226.0
115,154.0,30010.0
116,155.0,2257.0
117,156.0,2270.0
118,157.0,2280.0
119,158.0,2290.0
120,159.0,2374.0
121,160.0,2458.0
122,161.0,2514.0
123,162.0,20302.0
124,163.0,2553.0
125,164.0,2621.0
126,165.0,2641.0
127,166.0,2652.0
128,167.0,2665.0
129,168.0,2672.0
130,169.0,2680.0
131,171.0,2688.0
132,172.0,2717.0
133,173.0,2753.0
134,174.0,2756.0
135,175.0,2807.0
136,176.0,2484.0
137,177.0,2846.0
138,178.0,2933.0
139,340.0,5793.0
140,180.0,20922.0
141,181.0,2018.0
142,184.0,26338.0
143,185.0,2987.0
144,186.0,3036.0
145,187.0,3039.0
146,189.0,3045.0
147,190.0,3047.0
148,191.0,3050.0
149,192.0,3052.0
150,193.0,3061.0
151,194.0,3075.0
152,197.0,3099.0
153,198.0,3103.0
154,199.0,3138.0
155,201.0,3149.0
156,202.0,17720.0
157,203.0,3292.0
158,204.0,3293.0
159,205.0,3307.0
160,206.0,3328.0
161,207.0,3346.0
162,208.0,3371.0
163,209.0,3426.0
164,210.0,3457.0
165,211.0,3481.0
166,212.0,30336.0
167,213.0,3487.0
168,214.0,3498.0
169,906.0,13601.0
170,216.0,3539.0
171,217.0,3546.0
172,218.0,3553.0
173,219.0,3630.0
174,220.0,3658.0
175,221.0,3667.0
176,222.0,3670.0
177,223.0,3746.0
178,224.0,3791.0
179,225.0,3795.0
180,226.0,3800.0
181,1239.0,18839.0
182,228.0,3845.0
183,229.0,3866.0
184,230.0,3869.0
185,231.0,3886.0
186,232.0,3897.0
187,235.0,4036.0
188,236.0,4038.0
189,237.0,4044.0
190,238.0,4065.0
191,239.0,4135.0
192,240.0,4142.0
193,241.0,4150.0
194,242.0,4164.0
195,244.0,4232.0
196,245.0,4249.0
197,246.0,4251.0
198,247.0,4326.0
199,248.0,4403.0
200,250.0,4408.0
201,251.0,4460.0
202,252.0,4466.0
203,253.0,4474.0
204,254.0,4475.0
205,894.0,22268.0
206,313.0,5167.0
207,263.0,23603.0
208,264.0,4531.0
209,1269.0,4960.0
210,266.0,4536.0
211,267.0,4537.0
212,268.0,4540.0
