,ESE,GEO
0,4.0,15.0
1,5.0,18.0
2,7.0,25.0
3,8.0,26.0
4,9.0,32.0
5,10.0,40.0
6,11.0,52.0
7,14.0,68.0
8,34.0,185.0
9,35.0,330.0
10,37.0,206.0
11,39.0,211.0
12,40.0,222.0
13,47.0,247.0
14,51.0,761.0
15,54.0,269.0
16,59.0,299.0
17,86.0,332.0
18,95.0,344.0
19,101.0,349.0
20,107.0,358.0
21,120.0,387.0
22,130.0,417.0
23,132.0,507.0
24,140.0,411.0
25,156.0,512.0
26,157.0,514.0
27,159.0,533.0
28,169.0,195.0
29,170.0,755.0
30,173.0,477.0
31,175.0,576.0
32,177.0,605.0
33,178.0,606.0
34,180.0,623.0
35,184.0,663.0
36,190.0,674.0
37,194.0,683.0
38,198.0,451.0
39,202.0,737.0
40,206.0,749.0
41,213.0,771.0
42,216.0,776.0
43,219.0,779.0
44,222.0,785.0
45,225.0,798.0
46,226.0,801.0
47,227.0,331.0
48,228.0,805.0
49,230.0,811.0
50,231.0,814.0
51,232.0,829.0
52,233.0,837.0
53,237.0,867.0
54,265.0,882.0
55,272.0,915.0
56,291.0,949.0
57,294.0,962.0
58,300.0,981.0
59,303.0,986.0
60,304.0,990.0
61,306.0,23.0
62,308.0,1011.0
63,311.0,1018.0
64,314.0,1021.0
65,320.0,200.0
66,321.0,1041.0
67,322.0,1049.0
