,GEO,WEPP
0,0.0,27.0
1,1.0,61.0
2,2.0,76.0
3,3.0,94.0
4,4.0,111.0
5,5.0,110.0
6,7.0,115.0
7,8.0,165.0
8,9.0,166.0
9,11.0,256.0
10,12.0,7231.0
11,13.0,10472.0
12,14.0,279.0
13,15.0,312.0
14,16.0,383.0
15,17.0,411.0
16,18.0,511.0
17,19.0,537.0
18,20.0,593.0
19,21.0,599.0
20,22.0,634.0
21,23.0,30606.0
22,24.0,31843.0
23,25.0,692.0
24,26.0,693.0
25,28.0,725.0
26,29.0,729.0
27,30.0,765.0
28,31.0,16785.0
29,32.0,23363.0
30,33.0,816.0
31,34.0,831.0
32,35.0,862.0
33,36.0,865.0
34,37.0,918.0
35,38.0,895.0
36,39.0,903.0
37,40.0,931.0
38,41.0,952.0
39,42.0,1011.0
40,43.0,1033.0
41,44.0,1047.0
42,46.0,22275.0
43,48.0,1161.0
44,50.0,1200.0
45,51.0,1219.0
46,52.0,1255.0
47,53.0,1257.0
48,54.0,1347.0
49,55.0,1371.0
50,56.0,3109.0
51,57.0,1403.0
52,58.0,22735.0
53,59.0,23179.0
54,60.0,1427.0
55,61.0,1439.0
56,62.0,1489.0
57,63.0,1530.0
58,64.0,1541.0
59,65.0,1560.0
60,66.0,6155.0
61,67.0,1683.0
62,68.0,1687.0
63,69.0,1690.0
64,70.0,1720.0
65,71.0,32162.0
66,72.0,1879.0
67,73.0,1881.0
68,78.0,2012.0
69,79.0,23505.0
70,83.0,2183.0
71,84.0,2257.0
72,85.0,2259.0
73,86.0,2270.0
74,88.0,2272.0
75,89.0,2324.0
76,90.0,3535.0
77,91.0,2370.0
78,92.0,2374.0
79,93.0,2383.0
80,94.0,2393.0
81,95.0,2425.0
82,97.0,2484.0
83,98.0,2514.0
84,99.0,2529.0
85,100.0,2553.0
86,101.0,2641.0
87,102.0,2665.0
88,103.0,16641.0
89,589.0,18929.0
90,105.0,2754.0
91,107.0,2753.0
92,108.0,2799.0
93,109.0,2807.0
94,110.0,2818.0
95,888.0,28327.0
96,114.0,27329.0
97,115.0,2872.0
98,116.0,2874.0
99,117.0,2875.0
100,119.0,2995.0
101,915.0,3011.0
102,121.0,3138.0
103,123.0,3266.0
104,124.0,3572.0
105,126.0,3539.0
106,128.0,3546.0
107,129.0,3581.0
108,130.0,3606.0
109,131.0,3630.0
110,132.0,3667.0
111,133.0,3698.0
112,134.0,3844.0
113,135.0,3886.0
114,136.0,30517.0
115,138.0,3905.0
116,139.0,17724.0
117,140.0,3968.0
118,141.0,4036.0
119,142.0,4044.0
120,143.0,4114.0
121,145.0,31121.0
122,146.0,11433.0
123,148.0,4249.0
124,151.0,4422.0
125,152.0,2280.0
126,153.0,4531.0
127,154.0,4540.0
128,155.0,4583.0
