,GEO,WRI
0,9.0,26.0
1,12.0,35.0
2,23.0,4244.0
3,28.0,80.0
4,31.0,97.0
5,32.0,102.0
6,34.0,116.0
7,47.0,138.0
8,62.0,188.0
9,63.0,193.0
10,69.0,212.0
11,81.0,297.0
12,99.0,3197.0
13,125.0,1135.0
14,126.0,504.0
15,130.0,518.0
16,152.0,312.0
17,156.0,699.0
18,160.0,718.0
19,163.0,1297.0
20,166.0,764.0
21,176.0,776.0
22,185.0,3198.0
23,191.0,2641.0
24,213.0,943.0
25,230.0,1051.0
26,231.0,1225.0
27,233.0,1226.0
28,234.0,2021.0
29,242.0,1193.0
30,251.0,1117.0
31,255.0,1127.0
32,256.0,1133.0
33,304.0,854.0
34,305.0,3028.0
35,321.0,3721.0
36,354.0,1400.0
37,362.0,1451.0
38,368.0,1469.0
39,384.0,1566.0
40,385.0,1678.0
41,395.0,1601.0
42,454.0,1956.0
43,464.0,1969.0
44,467.0,1980.0
45,468.0,1981.0
46,471.0,1992.0
47,479.0,2018.0
48,480.0,2019.0
49,483.0,2023.0
50,510.0,2123.0
51,512.0,2118.0
52,515.0,2119.0
53,519.0,2128.0
54,520.0,2129.0
55,525.0,2137.0
56,536.0,1028.0
57,537.0,4531.0
58,541.0,2201.0
59,545.0,2220.0
60,553.0,2231.0
61,556.0,4532.0
62,568.0,2287.0
63,590.0,2429.0
64,600.0,2446.0
65,619.0,3915.0
66,622.0,2491.0
67,634.0,2542.0
68,655.0,2628.0
69,666.0,2717.0
70,695.0,2869.0
71,701.0,2902.0
72,710.0,2922.0
73,718.0,2988.0
74,721.0,3217.0
75,722.0,3026.0
76,725.0,3063.0
77,735.0,3110.0
78,736.0,3111.0
79,742.0,3120.0
80,744.0,3168.0
81,757.0,3162.0
82,759.0,3170.0
83,763.0,3195.0
84,764.0,3199.0
85,770.0,3249.0
86,783.0,3323.0
87,784.0,3331.0
88,798.0,3358.0
89,799.0,3359.0
90,813.0,3437.0
91,829.0,3461.0
92,831.0,3473.0
93,857.0,3545.0
94,862.0,3572.0
95,867.0,3578.0
96,869.0,1222.0
97,870.0,3613.0
98,871.0,3615.0
99,872.0,3616.0
100,876.0,3626.0
101,877.0,3628.0
102,878.0,3638.0
103,880.0,3642.0
104,881.0,3654.0
105,882.0,3687.0
106,884.0,3693.0
107,891.0,3702.0
108,902.0,4538.0
109,903.0,4539.0
110,905.0,3790.0
111,908.0,3803.0
112,909.0,3805.0
113,912.0,3820.0
114,918.0,3853.0
115,924.0,3903.0
116,928.0,3609.0
117,929.0,3757.0
118,938.0,3961.0
119,940.0,3962.0
120,950.0,4032.0
121,961.0,4112.0
122,963.0,4118.0
123,964.0,4119.0
124,972.0,4191.0
125,974.0,4193.0
126,981.0,4214.0
127,984.0,4219.0
128,989.0,4239.0
129,992.0,4243.0
130,1036.0,1507.0
131,1041.0,4540.0
132,1042.0,1227.0
133,1046.0,4504.0
