,IWPDCY,OPSD
0,1.0,4923.0
1,5.0,141.0
2,17.0,320.0
3,18.0,319.0
4,26.0,419.0
5,45.0,658.0
6,53.0,1173.0
7,57.0,1279.0
8,63.0,1506.0
9,85.0,1693.0
10,97.0,1885.0
11,110.0,1975.0
12,124.0,2057.0
13,162.0,2408.0
14,171.0,2456.0
15,193.0,2552.0
16,195.0,2572.0
17,199.0,2585.0
18,220.0,2797.0
19,224.0,2852.0
20,236.0,3091.0
21,406.0,4750.0
22,256.0,3232.0
23,264.0,3543.0
24,267.0,3545.0
25,271.0,3697.0
26,280.0,3818.0
27,290.0,3997.0
28,293.0,4057.0
29,299.0,4283.0
30,300.0,4119.0
31,310.0,4127.0
32,321.0,4219.0
33,334.0,4245.0
34,344.0,4264.0
35,401.0,4706.0
36,351.0,4281.0
37,363.0,4405.0
38,369.0,4410.0
39,370.0,4418.0
40,377.0,4506.0
41,384.0,4530.0
42,391.0,4656.0
43,405.0,4749.0
