,OPSD,WEPP
0,0.0,12392.0
1,3.0,26.0
2,4.0,27.0
3,5.0,28.0
4,6.0,29.0
5,4464.0,28972.0
6,8.0,40.0
7,10.0,61.0
8,11.0,62.0
9,14.0,462.0
10,17.0,76.0
11,18.0,15761.0
12,19.0,94.0
13,22.0,110.0
14,23.0,112.0
15,24.0,11492.0
16,27.0,5889.0
17,28.0,114.0
18,30.0,123.0
19,31.0,144.0
20,4294.0,27981.0
21,35.0,165.0
22,41.0,20528.0
23,43.0,277.0
24,45.0,280.0
25,52.0,306.0
26,53.0,310.0
27,54.0,659.0
28,55.0,314.0
29,57.0,318.0
30,59.0,20093.0
31,60.0,331.0
32,61.0,336.0
33,62.0,15763.0
34,63.0,340.0
35,65.0,365.0
36,67.0,367.0
37,69.0,371.0
38,70.0,373.0
39,72.0,31843.0
40,73.0,5018.0
41,74.0,6148.0
42,75.0,9515.0
43,76.0,405.0
44,77.0,409.0
45,78.0,411.0
46,79.0,415.0
47,3657.0,23293.0
48,82.0,436.0
49,1203.0,7087.0
50,89.0,16962.0
51,123.0,598.0
52,91.0,470.0
53,94.0,475.0
54,98.0,485.0
55,101.0,489.0
56,102.0,500.0
57,103.0,502.0
58,105.0,511.0
59,107.0,514.0
60,108.0,546.0
61,109.0,556.0
62,110.0,559.0
63,132.0,471.0
64,122.0,6654.0
65,124.0,617.0
66,2492.0,15901.0
67,766.0,4762.0
68,128.0,628.0
69,129.0,630.0
70,130.0,634.0
71,4452.0,28877.0
72,137.0,658.0
73,139.0,673.0
74,140.0,690.0
75,142.0,725.0
76,144.0,730.0
77,145.0,729.0
78,146.0,754.0
79,147.0,25590.0
80,148.0,765.0
81,149.0,770.0
82,150.0,785.0
83,155.0,830.0
84,156.0,17128.0
85,2539.0,5618.0
86,162.0,832.0
87,165.0,843.0
88,166.0,864.0
89,168.0,1569.0
90,2933.0,15409.0
91,171.0,879.0
92,172.0,895.0
93,173.0,906.0
94,176.0,922.0
95,177.0,931.0
96,179.0,932.0
97,183.0,956.0
98,639.0,3762.0
99,185.0,962.0
100,186.0,971.0
101,187.0,1162.0
102,188.0,978.0
103,189.0,991.0
104,191.0,1019.0
105,194.0,15735.0
106,1955.0,11809.0
107,196.0,13.0
108,197.0,24764.0
109,198.0,32025.0
110,199.0,1033.0
111,200.0,1034.0
112,201.0,4619.0
113,202.0,1047.0
114,203.0,1060.0
115,776.0,4798.0
116,206.0,1070.0
117,207.0,1075.0
118,210.0,1082.0
119,211.0,1086.0
120,212.0,1092.0
121,213.0,1097.0
122,214.0,1010.0
123,215.0,1104.0
124,219.0,32057.0
125,413.0,2196.0
126,224.0,22822.0
127,848.0,1234.0
128,228.0,21505.0
129,229.0,1164.0
130,231.0,1169.0
131,233.0,21605.0
132,3143.0,20199.0
133,1419.0,8379.0
134,236.0,1174.0
135,237.0,1176.0
136,239.0,1183.0
137,242.0,1200.0
138,244.0,1222.0
139,246.0,1238.0
140,249.0,1242.0
141,251.0,1243.0
142,254.0,1261.0
143,256.0,1266.0
144,257.0,1270.0
145,258.0,1277.0
146,261.0,1293.0
147,275.0,1358.0
148,265.0,1317.0
149,267.0,1326.0
150,268.0,1328.0
151,269.0,1330.0
152,270.0,1340.0
153,272.0,1346.0
154,273.0,16892.0
155,274.0,1356.0
156,276.0,1365.0
157,279.0,1366.0
158,280.0,1404.0
159,281.0,1371.0
160,283.0,1392.0
161,284.0,1399.0
162,286.0,3109.0
163,287.0,1427.0
164,288.0,1439.0
165,289.0,1455.0
166,291.0,1471.0
167,293.0,1512.0
168,296.0,1541.0
169,298.0,1552.0
170,301.0,494.0
171,3257.0,21006.0
172,4136.0,488.0
173,305.0,1573.0
174,306.0,25582.0
175,307.0,1597.0
176,308.0,1602.0
177,309.0,1606.0
178,310.0,1616.0
179,311.0,1623.0
180,312.0,1624.0
181,313.0,1630.0
182,316.0,1656.0
183,317.0,1657.0
184,318.0,1658.0
185,324.0,30222.0
186,326.0,1709.0
187,330.0,1720.0
188,331.0,1732.0
189,332.0,1687.0
190,333.0,1745.0
191,336.0,1236.0
192,338.0,1776.0
193,339.0,17950.0
194,342.0,1782.0
195,4328.0,28179.0
196,350.0,30788.0
197,351.0,495.0
198,353.0,1785.0
199,354.0,30603.0
200,355.0,1812.0
201,356.0,25091.0
202,357.0,2261.0
203,382.0,2019.0
204,360.0,1844.0
205,361.0,1850.0
206,362.0,29317.0
207,4541.0,29441.0
208,364.0,1863.0
209,365.0,1879.0
210,366.0,2266.0
211,367.0,1908.0
212,369.0,1922.0
213,370.0,1925.0
214,722.0,4528.0
215,373.0,1946.0
216,376.0,1928.0
217,378.0,1990.0
218,380.0,2000.0
219,1827.0,2034.0
220,385.0,2035.0
221,386.0,2036.0
222,387.0,2044.0
223,388.0,2055.0
224,389.0,2058.0
225,390.0,2060.0
226,391.0,2062.0
227,392.0,2065.0
228,2108.0,13374.0
229,394.0,2074.0
230,396.0,2089.0
231,397.0,2115.0
232,398.0,2119.0
233,400.0,12207.0
234,401.0,2137.0
235,402.0,13737.0
236,403.0,2157.0
237,404.0,2048.0
238,2432.0,15395.0
239,406.0,2170.0
240,410.0,2174.0
241,411.0,2175.0
242,412.0,2183.0
243,414.0,2219.0
244,415.0,2235.0
245,416.0,30010.0
246,417.0,2257.0
247,419.0,2260.0
248,421.0,2264.0
249,422.0,2270.0
250,423.0,2078.0
251,427.0,2316.0
252,428.0,2318.0
253,432.0,1802.0
254,434.0,2586.0
255,435.0,2374.0
256,1030.0,4519.0
257,443.0,9955.0
258,444.0,9954.0
259,447.0,30622.0
260,4479.0,29016.0
261,461.0,25180.0
262,452.0,2490.0
263,457.0,2544.0
264,454.0,2511.0
265,455.0,2514.0
266,459.0,2552.0
267,460.0,2556.0
268,463.0,2592.0
269,464.0,2613.0
270,465.0,2614.0
271,468.0,2633.0
272,474.0,2612.0
273,469.0,2658.0
274,470.0,2665.0
275,471.0,20517.0
276,3811.0,24110.0
277,473.0,8016.0
278,475.0,2714.0
279,476.0,2728.0
280,477.0,2745.0
281,478.0,2753.0
282,480.0,2772.0
283,481.0,2788.0
284,482.0,2806.0
285,483.0,2807.0
286,484.0,2818.0
287,485.0,2817.0
