,WEPP,WRI
0,8.0,0.0
1,8901.0,1330.0
2,50.0,5.0
3,58.0,8.0
4,66.0,1032.0
5,67.0,11.0
6,70.0,12.0
7,75.0,13.0
8,21668.0,1254.0
9,106.0,17.0
10,121.0,18.0
11,123.0,20.0
12,124.0,21.0
13,141.0,22.0
14,146.0,235.0
15,149.0,24.0
16,166.0,26.0
17,191.0,3404.0
18,22219.0,3087.0
19,303.0,4509.0
20,306.0,38.0
21,333.0,41.0
22,336.0,42.0
23,343.0,44.0
24,358.0,46.0
25,372.0,47.0
26,401.0,48.0
27,459.0,2766.0
28,513.0,2954.0
29,5316.0,793.0
30,530.0,176.0
31,538.0,114.0
32,547.0,59.0
33,551.0,61.0
34,563.0,62.0
35,15425.0,2138.0
36,613.0,67.0
37,614.0,68.0
38,620.0,69.0
39,6863.0,1053.0
40,637.0,75.0
41,23910.0,3306.0
42,695.0,77.0
43,720.0,79.0
44,726.0,81.0
45,30691.0,4251.0
46,746.0,88.0
47,747.0,89.0
48,773.0,90.0
49,18223.0,2537.0
50,800.0,108.0
51,801.0,211.0
52,802.0,113.0
53,813.0,110.0
54,817.0,111.0
55,831.0,116.0
56,838.0,117.0
57,17797.0,2464.0
58,873.0,121.0
59,10711.0,1538.0
60,889.0,122.0
61,904.0,123.0
62,905.0,3673.0
63,920.0,126.0
64,923.0,128.0
65,956.0,129.0
66,1211.0,146.0
67,964.0,130.0
68,974.0,3138.0
69,975.0,131.0
70,1001.0,132.0
71,1031.0,133.0
72,19987.0,2752.0
73,17720.0,464.0
74,1111.0,4438.0
75,1136.0,289.0
76,1137.0,610.0
77,1180.0,143.0
78,1182.0,144.0
79,3047.0,424.0
80,1215.0,147.0
81,1226.0,152.0
82,1231.0,156.0
83,1233.0,157.0
84,1234.0,776.0
85,1250.0,4031.0
86,1285.0,159.0
87,1289.0,160.0
88,2688.0,374.0
89,1305.0,31.0
90,1308.0,164.0
91,1311.0,166.0
92,16609.0,2264.0
