,Country,lat,lon
Aall ulefoss,Norway,59.28382300000001,9.264594899999999
Abjora,Norway,65.04275319999999,12.7946057
Aboño,Spain,43.4810245,-5.801112499999999
Abwinden asten,Austria,48.2188234,14.4202806
Acceglio,Italy,44.47501500000001,6.988893
Aceca ib,Spain,39.95,-3.85
Aceca uf,Spain,39.95,-3.85
Acerra,Italy,40.9441091,14.371438
Acquoria,Italy,41.9627412,12.7817991
Adamselv,Norway,70.32845929999999,26.7116388
Adamów,Poland,51.7430636,22.2640542
Adria,Italy,45.0555487,12.0560381
Aes ottana energia s.r.l,Italy,40.2338,9.0421
Aet leventina,Switzerland,46.5315975,8.7195556
Agdenes,Norway,63.5137872,9.6812502
Aggius bortigiadas viddalba,Italy,40.8909278,9.042497599999999
Aggius viddalba,Italy,40.9300376,9.064926999999999
Aghada prod,Ireland,51.836983,-8.2089958
Agordo,Italy,46.2838939,12.0345018
Agras,Greece,40.8058655,22.0032706
Agri,Italy,40.2577317,16.6022827
Aguayo,Spain,43.0752838,-4.018466099999999
Aguieira,Portugal,40.530463,-7.921155499999998
Ahrensfelde,Germany,52.5817191,13.5747926
Aigle,France,48.764651,0.628715
Airasca,Italy,44.9171106,7.4893491
Airole,Italy,43.8712411,7.5555666
Akland,Norway,58.730746,9.045152999999999
Akraelva,Norway,59.8041089,6.0989735
Akw wägital,Switzerland,47.08779579999999,8.9224821
Al,Norway,60.6303103,8.5610796
Ala,Italy,45.7625639,11.0051732
Alanno,Italy,42.296299,13.9677519
Albano,Italy,41.7284572,12.6589426
Albapower spa,Italy,44.7034132,8.026922899999999
Alberona mezzanelle,Italy,41.432188,15.1242439
Alcamo,Italy,37.9783947,12.9686255
Alcantara nord,Italy,37.895526,15.07923
Alcantara sud,Italy,37.895526,15.07923
Alfonsine,Italy,44.5059036,12.0430671
Alg,Spain,41.4025054,2.1934685
Alholmens kraft,Finland,63.70497340000001,22.6947953
Aliveri,Greece,38.4092722,24.0400763
Almaraz,Spain,39.814327,-5.675295699999999
Alqueva,Portugal,38.2312544,-7.557223100000001
Alta krv,Norway,69.95502979999999,23.3279046
Alta tra,Norway,69.95502979999999,23.3279046
Altbach deizisau,Germany,48.72227969999999,9.380059
Altenwörth,Austria,48.38507999999999,15.86117
Alto garda srl,Italy,45.8844662,10.842177
Alto lindoso,Portugal,41.8721126,-8.202874399999999
Altomonte,Italy,39.69848169999999,16.1289488
Amagervaerket,Denmark,55.68372240000001,12.6244942
Amaroni,Italy,38.792906,16.4462245
Ambiente,Italy,45.4717019,9.2100428
Ambieta,Spain,42.2147039,-7.7090863
Amdal,Norway,59.6562386,6.315714499999999
Amela,Norway,62.0091257,5.8372718
Amer,Netherlands,51.7229284,4.7556579
Amercoeur tgv,Belgium,50.6362947,5.5917374
Amli,Norway,58.7702389,8.4897388
Amyndeo,Greece,40.6905178,21.6797432
Ana sira,Norway,58.2924889,6.440261100000001
Andonno c.,Italy,44.2952993,7.429002999999999
Anholt,Denmark,56.71199559999999,11.5547024
Anllares,Spain,42.8466592,-6.544314699999999
Aoou,Greece,39.6436757,20.8663056
Appia energy s.r.l.,Italy,40.5878971,17.1160344
Aramon,France,43.89084099999999,4.679412999999999
Arcos,Spain,36.7560042,-5.8116522
Ardenno,Italy,46.1700698,9.6507395
Ardnacrucha production unit,Ireland,52.70909839999999,-8.6139472
Ariano irpino,Italy,41.1548934,15.0922763
Arlifoss,Norway,59.68092,9.149846
Arna,Norway,60.426748,5.454286199999999
Aros,Sweden,59.60990049999999,16.5448092
Aroy,Norway,58.8961373,9.581169299999999
Arrubal,Spain,42.434452,-2.2519623
Arsie',Italy,45.9830102,11.756288
Arvik,Norway,70.1935421,20.5312973
Aschach,Austria,48.3641034,14.0193903
Asco,Spain,41.1827575,0.5671571
Ascoli deliceto,Italy,41.2033413,15.5627449
Ascoli porta romana,Italy,42.8535259,13.5617683
Ascoli satriano,Italy,41.2033413,15.5627449
Ascoli satriano località lagnano pozzo zingaro,Italy,41.2033413,15.5627449
Asebotn,Norway,59.05540659999999,6.648529799999999
Aselva,Norway,63.6150117,9.7131293
Asen,Norway,63.6082353,11.0517689
Askara,Norway,61.78333329999999,5.6666667
Askerudfoss,Norway,60.72470509999999,11.8019472
Asnaesvaerket,Denmark,55.6606658,11.0845619
Asnes,Norway,60.61319750000001,12.0108574
Asomata,Greece,40.4869972,22.2332384
Assemini,Italy,39.2106099,9.0018424
Aston,France,42.774335,1.675064
Aughinish alumnia sealrock,Ireland,52.6211111,-9.066111099999999
Augusta c.le,Italy,37.2500684,15.2216971
Aukland,Norway,58.2062969,7.9222525
Aunfoss,Norway,64.310453,11.5208419
Aura,Norway,60.39191899999999,5.330715
Aurland,Norway,60.9068343,7.190534899999999
Auvere kondensatsioonielektrijaam,Estonia,59.3186346,27.9158382
Avedoerevaerket,Denmark,55.6035926,12.4812653
Avella,Norway,59.9082141,10.7445058
Aventino,Italy,41.8824826,12.4776405
Aviglaino,Italy,40.7299,15.7145967
Avignon,France,43.94931700000001,4.805528
Avise,Italy,45.7086376,7.139643800000001
Azotati,Italy,45.462577,12.2344301
Azoty tarnów,Poland,51.4508204,21.9841354
Bagaladi,Italy,38.0254433,15.8210305
Bagn,Norway,60.8224903,9.5520722
Bagnore,Italy,42.8467047,11.5678615
Bahiab,Spain,36.436139,-5.107680999999999
Baix logis neuf,France,44.66236,4.791905
Baixo sabor montante,Portugal,41.4887656,-6.8677325
Ballangen,Norway,68.3429339,16.8314179
Balsfjord,Norway,69.2389558,19.2260271
Balsorano,Italy,41.7917551,13.5784012
Barcis,Italy,46.19071779999999,12.5592842
Bardonecchia,Italy,45.07428609999999,6.6960506
Bardonetto,Italy,45.4078695,7.4896508
Bardufoss,Norway,69.0643084,18.5385152
Bardukrv,Norway,68.76474809999999,18.4388618
Bargi,Italy,44.1260632,11.0588536
Barletta mw,Italy,41.3196635,16.2838207
Barrios,Spain,36.1850645,-5.4925573
Baschi,Italy,42.66938649999999,12.2163084
Baselice edens,Italy,41.3920535,14.9732297
Basilio,Italy,39.5240951,9.2009815
Bastardo,Italy,42.8714814,12.5602688
Bastusel,Sweden,64.1607688,19.5016489
Bathie,France,45.6262169,6.449892999999999
Battiggio,Italy,45.98437,8.1251984
Beauchastel,France,44.8258962,4.8028322
Begna,Norway,60.6444984,9.847696400000002
Belleville,France,48.8728179,2.389461
Bemposta,Portugal,41.3077834,-6.503643299999999
Bergeforsen,Sweden,62.5253472,17.3746134
Bergerfoss,Norway,60.2275992,10.3756807
Bergkamen,Germany,51.6158082,7.6429742
Bergsbotn,Norway,69.4414418,17.4211976
Berild,Norway,59.9572101,10.6853184
Beringen,Belgium,51.04793,5.21862
Besos,Spain,41.4833798,2.2187607
Bessakerfjellet,Norway,64.2222724,10.3723215
Bexbach,Germany,49.35602249999999,7.255374499999999
Bełchatów,Poland,51.3687535,19.3564248
Biccari,Italy,41.3984747,15.1980786
Bingsfoss,Norway,59.98910970000001,11.2596954
Biogen chivasso,Italy,45.1999726,7.8899754
Biolevano biomassa,Italy,45.2207816,8.7035295
Biomasse bando d'argenta,Italy,44.6510294,11.8919009
Biopower sardegna,Italy,40.23429429999999,9.0425556
Biovento,Italy,41.1297613,14.7826208
Birkeland,Norway,58.33091469999999,8.232289399999999
Bisaccia,Italy,41.0153354,15.3758878
Bisaccia mw,Italy,41.0153354,15.3758878
Bjelland,Norway,58.3849359,7.527695599999999
Bjerka,Norway,66.14611119999999,13.8350049
Bjolvefossen,Norway,60.4307598,6.4294576
Bjolvo,Norway,60.4245323,6.359846699999999
Bjordal,Norway,61.07249579999999,5.827476
Bjorendal,Norway,61.07249579999999,5.827476
Bjorkasen,Norway,68.3309949,16.7901782
Bjorndalselva,Norway,67.3504778,15.5148521
Blachownia,Poland,50.78505,18.96224
Blafalli,Norway,59.8580099,6.0171978
Blayais,France,45.126841,-0.662941
Blenio ofible,Switzerland,46.5352422,8.943885
Blenod,France,48.8811589,6.053062
Boazzo,Italy,46.0018781,10.517251
Boffalora,Italy,45.46282710000001,8.8293459
Boffetto,Italy,46.1615346,9.9527383
Bohunice,Slovakia,49.0173878,18.2000097
Bolarque,Spain,40.3621359,-2.8146957
Bolognano,Italy,42.2175727,13.955007
Bonorva,Italy,40.4168517,8.7688864
Bordogna,Italy,45.95206169999999,9.7203608
Borgo sabotino,Italy,41.4181392,12.8486076
Borgo trento,Italy,46.0747793,11.1217486
Borgund,Norway,61.0473886,7.812384199999999
Borkum riffgrund,Germany,53.593131,6.704731199999999
Borssele,Netherlands,51.4256645,3.733669699999999
Bort,France,45.400996,2.495397
Bortveit,Norway,59.89272899999999,5.5139111
Borzesti,Romania,46.2375538,26.8264364
Bourg les valence,France,44.94703699999999,4.894633
Bovino,Italy,41.2682521,15.3716684
Boxberg,Germany,49.48181779999999,9.6375251
Boylefoss,Norway,58.59798059999999,8.7173151
Bradisoru,Romania,45.0807648,21.7183396
Braila,Romania,45.2652463,27.9594714
Brandaa,Norway,63.0955621,9.1879675
Bratsberg,Norway,63.3493642,10.4819594
Brazi,Romania,44.883333,26.0
Breiava,Norway,70.5972783,22.1088275
Breive,Norway,70.5972783,22.1088275
Brekke,Norway,61.01874609999999,5.4616181
Brekkefoss,Norway,61.7231538,5.837689399999999
Brennilis,France,48.357285,-3.85065
Bressanone,Italy,46.7177048,11.6572436
Brindisi nord,Italy,40.6327278,17.9417616
Brindisi sud ce,Italy,40.6220201,17.9437692
Brokdorf,Germany,53.8632511,9.324380999999999
Brokke,Norway,59.0943086,7.4490846
Brommat,France,44.83062899999999,2.6841
Brossasco,Italy,44.5699208,7.362781699999998
Brunico,Italy,46.79657359999999,11.9380416
Brunstad,Norway,62.3816339,6.5741103
Bruvollelva,Norway,60.4404384,11.5015037
Bryggja,Norway,61.9407247,5.448953899999999
Bucuresti sud,Romania,44.4267674,26.1025384
Bucuresti vest,Romania,44.4463656,25.9645109
Buddusò alà dei sardi,Italy,40.5770405,9.255043500000001
Bugey,France,45.95843600000001,5.359556
Buglia,Italy,45.8216546,8.889423299999999
Burghausen,Germany,48.1725613,12.8310753
Bussento,Italy,40.10039159999999,15.5005487
Bussi,Italy,42.2135849,13.8253915
Bussolengo,Italy,45.4732537,10.8507277
Byafossen,Norway,64.0319904,11.5484121
Bydgoszcz,Poland,53.12348040000001,18.0084378
Byrkjelo,Norway,61.733299,6.5069117
Byrte,Norway,59.5604452,7.8136198
C.le eolica pietramontecorvino,Italy,41.5432306,15.1316634
C.le ferrara cassana,Italy,44.8381237,11.619787
C.le hera modena cavazza,Italy,44.6584644,10.9176241
Ca del bue,Italy,40.2469717,9.6228889
Cabot ravenna cte,Italy,44.4183598,12.2035294
Cabril,Portugal,41.7137775,-8.035618399999999
Caccamo,Italy,37.9313776,13.6652138
Cadarese,Italy,46.2971604,8.360331799999999
Caderousse,France,44.102091,4.756495999999999
Caffaro,Italy,45.8190939,10.4966039
Cairo,Italy,44.4069442,8.3197946
Cairo montenotte,Italy,44.4069442,8.3197946
Calcinere,Italy,44.6882238,7.233116099999999
Calice,Italy,44.2045552,8.294812799999999
Callari,Italy,39.2238411,9.1216613
Calore,Italy,41.0528131,14.9571385
Camas maida,Italy,38.887938,16.3817021
Campagna,Italy,40.6670887,15.1068113
Campliccioli,Italy,41.0838829,9.546487899999999
Campo,Italy,41.8955854,12.4721632
Campo moro,Italy,46.3018509,9.9282503
Campomaggiore,Italy,40.5628427,16.0816536
Camporeale,Italy,37.8935967,13.0875535
Canavese,Italy,45.391156,7.781129999999999
Cancellara,Italy,40.7206344,15.9112424
Candela,Italy,41.1348576,15.5148587
Caneva,Italy,45.9681261,12.4480132
Canterno,Italy,41.9378731,13.041455
Caoria,Italy,46.1921708,11.6843358
Capodiponte,Italy,46.029861,10.3466388
Capriati,Italy,41.4683793,14.1478287
Carboli,Italy,43.7956345,11.1831816
Cardano,Italy,45.6455568,8.7716745
Carlentini,Italy,37.2698234,15.014569
Carona,Italy,46.02538879999999,9.8325488
Caroso borzonasca,Italy,44.4369114,9.3978891
Carpinone,Italy,41.5922026,14.3239586
Carrapatelo,Portugal,41.1124737,-8.0035946
Cartiera reno medici santa giustina,Italy,46.0734131,12.0364362
Carzano,Italy,46.0729249,11.4921891
Casella c.le,Italy,45.7892683,11.9167245
Cassano,Italy,39.784712,16.3210165
Cassino,Italy,41.4866953,13.8332193
Cassino meta,Italy,40.64788300000001,14.4088385
Castejo,Spain,42.1708012,-1.6894332
Castel giubileo,Italy,41.9873147,12.5054259
Castel lucio,Italy,37.887652,14.3132362
Castel madama,Italy,41.9755154,12.8696673
Castelbello,Italy,46.6383258,10.9413657
Casteldelf,Italy,43.54823409999999,10.8595743
Castellaneta,Italy,40.62804180000001,16.9397385
Castellaneta wind farm,Italy,40.62804180000001,16.9397385
Castelletto,Italy,45.6865805,10.7495339
Castello,Spain,40.1451772,-0.1494988
Castelmassa,Italy,45.02219900000001,11.3114098
Castelnou,Spain,41.2278672,-0.3645379
Castelnuovo conza,Italy,40.8190909,15.3197044
Castelnuovo della daunia,Italy,41.5840451,15.1204157
Castelo bode,Portugal,39.542778,-8.319722
Castrocucco,Italy,39.93698029999999,15.7633592
Casuzze,Italy,36.7900105,14.5253628
Cattenom,France,49.406263,6.243668
Cccc petrom brazi,Romania,44.883333,26.0
Ccgt aprilia,Italy,41.5944018,12.6560314
Cedegolo,Italy,46.0770081,10.3488161
Celano,Italy,42.08225119999999,13.5429874
Cencenighe,Italy,46.3419309,11.9713853
Centro olio val d'agri,Italy,40.3140247,15.8980751
Ceprano,Italy,41.5443553,13.512173
Cer castelfranco,Italy,45.6716942,11.9282388
Charlottenburg,Germany,52.5166023,13.3041054
Chastang,France,45.172484,1.734632
Chatillon,Italy,45.7485816,7.6128015
Chavonne,Italy,45.7019007,7.219332
Cheylas,France,45.370801,5.992381
Chiavenna,Italy,46.3271725,9.401207099999999
Chievo,Italy,45.4626127,10.9149339
Chievolis,Italy,46.2545519,12.7353981
Chinon,France,47.167296,0.240385
Chiomonte,Italy,45.1177836,6.9834046
Chiusdino,Italy,43.1893594,11.1390878
Chivasso,Italy,45.19003840000001,7.888952
Chooz,France,50.102368,4.807117
Chorzów,Poland,50.2974884,18.9545728
Chp evn plovdiv,Bulgaria,42.1354079,24.7452904
Chp ruse,Bulgaria,43.83557130000001,25.9656554
Cimego,Italy,45.9117544,10.6134314
Cimena,Italy,45.1557075,7.863483599999999
Civaux,France,46.444209,0.664866
Cividate,Italy,45.9444587,10.2791907
Claus,Netherlands,52.3655662,4.8987878
Cocullo,Italy,42.0319914,13.7750784
Cofrentes,Spain,39.229485,-1.0616065
Cogenerazione aeroporto fiumicino,Italy,41.7998868,12.2462384
Cogenerazione bardonecchia,Italy,45.07428609999999,6.6960506
Cogenerazione elyo presso michelin cuneo,Italy,44.3844766,7.5426711
Cogenerazione roquette italia,Italy,44.7584701,8.8546973
Coghinas,Italy,40.919771,8.8521434
Cogolo,Italy,46.3477949,10.6965438
Colari,Italy,40.5532009,14.222154
Cologno monzese,Italy,45.528603,9.2787075
Colori del vento,Italy,45.76233329999999,11.690976
Combe d'avrieux,France,45.2149829,6.720537999999999
Combigolfe,France,43.4089592,4.8678877
Comunacqua,Italy,41.8645308,13.1984085
Comunanza,Italy,42.9546532,13.4120389
Contrada corvo cozzo miturro,Italy,45.2050768,8.612361000000002
Coo,Belgium,50.39343,5.86944
Cordemais,France,47.291429,-1.876729
Cordenons,Italy,45.9858407,12.7035513
Corenno,Italy,46.0900097,9.310951099999999
Corfino,Italy,44.1808162,10.37829
Cornia,Italy,44.29863719999999,10.6990438
Coscile,Italy,39.6848573,16.3128536
Costa grande,Italy,41.5855985,13.3762382
Cotilia,Italy,42.3822584,13.0137323
Couesque,France,44.6962844,2.5851783
Covalou,Italy,45.77561,7.593290000000001
Cozzo vallefondi,Italy,45.2050768,8.612361000000002
Craiova,Romania,44.3301785,23.7948807
Crego,Italy,46.2562721,8.3404354
Crestuma,Portugal,41.06354169999999,-8.5000342
Creva,Italy,45.9950115,8.7567682
Crevola d.,Italy,46.1485563,8.2866334
Croix metz,France,49.0981955,6.1715665
Crotone,Italy,39.0807932,17.1271102
Cruas,France,44.656914,4.765255
Cte del mincio,Italy,45.25484780000001,10.821336
Cucchinadorza,Italy,40.1302404,9.1359301
Curbans,France,44.427565,6.035874
Curon,Italy,46.80811079999999,10.5407426
Dale,Norway,60.59364100000001,5.801007
Dale tue,Norway,60.59364100000001,5.801007
Dalen,Norway,59.4450745,8.0053846
Dalvatn,Norway,69.6087069,30.0244315
Dampierre,France,48.705142,1.984545
Darfo,Italy,45.89724030000001,10.195664
Deliceto,Italy,41.2230168,15.3861953
Deliceto torretta,Italy,41.2230168,15.3861953
Dell'alvano aquilea,Italy,45.76816909999999,13.3687199
Den haag,Netherlands,52.0704978,4.3006999
Diemen,Netherlands,52.3389926,4.9591888
Dimitrios,Greece,37.9356939,23.7294558
Dirinon,France,48.39819360000001,-4.269775399999999
Dittielva,Norway,68.6432349,18.771043
Dividalen,Norway,68.848561,19.5704171
Djupfjord,Norway,68.6088891,15.454997
Doel,Belgium,51.31059759999999,4.264974899999999
Dokka kr,Norway,60.8400064,10.061805
Dokka tr,Norway,60.8400064,10.061805
Dokkelva,Norway,61.1826728,9.871242900000002
Donaustadt,Austria,48.235551,16.4623916
Donzere mondragon,France,44.3311248,4.717415
Dormagen,Germany,51.09368509999999,6.828911199999999
Dotto ciorlano,Italy,41.4499878,14.1596149
Dragefossen,Norway,67.101958,15.395471
Driva,Norway,62.59448809999999,8.8866494
Drobeta,Romania,44.6369227,22.6597342
Drogenbos tgv,Belgium,50.7875382,4.3164506
Dronero c.,Italy,44.4658423,7.3656691
Dublin bay prod,Ireland,53.29252959999999,-6.4262093
Duino,Italy,45.7753929,13.6026211
Dversetelva,Norway,67.1449377,15.2916218
Dychów,Poland,51.9863325,15.0608199
Dynjanfoss,Norway,58.95188760000001,8.346714799999999
E.on c.te livorno ferraris,Italy,45.2817294,8.084918199999999
Eall s. vittore del lazio,Italy,41.4601815,13.9319409
Ebro alto,Spain,42.4152978,-2.027319
Ec białystok,Poland,53.13248859999999,23.1688403
Ec nowa sarzyna,Poland,50.3159351,22.324503
Ec rzeszów,Poland,50.0411867,21.9991196
Ec siekierki,Poland,52.2116146,21.0760411
Ec wrotków,Poland,51.2165356,22.5591116
Ec włocławek,Poland,52.6483303,19.0677357
Ec łódź,Poland,51.7405067,19.4404136
Echv,Czech Republic,51.960143,5.2233223
Edenderry prod,Ireland,53.34962909999999,-7.0507765
Edet,Sweden,58.132158,12.1241336
Edolo,Italy,46.1804266,10.3298933
Eegpe,Spain,38.5361833,-0.1314826
Eemshaven,Netherlands,53.4385887,6.8354937
Eesqui,Spain,40.4087004,-3.6956139
Eesti elektrijaam,Estonia,59.2743435,27.9086465
Eid,Norway,61.9206441,6.0118765
Eidefossen,Norway,61.80454379999999,9.3017814
Eidseter,Norway,60.37907139999999,11.0743721
Eidsfo,Norway,59.59388850000001,10.0417957
Eidsfoss,Norway,59.59388850000001,10.0417957
Eidsfossen sfe,Norway,61.7557051,6.246569999999999
