name,lat,lon
Galleto Power Plant Italy,41.87194,12.56738
Amfard Power Plant France,47.72008959999999,1.5801954
Ec włocławek Power Plant Poland,52.6483303,19.0677357
Enipower livorno Power Plant Italy,43.548473,10.3105674
Alcala jucar Power Plant Spain,39.1669696,-1.3855161
Limmern Power Plant Switzerland,46.8784824,8.9820654
Agueda Power Plant Spain,37.2300993,-3.0679614
Alqueria Power Plant Spain,37.2300993,-3.0679614
Antrel Power Plant Spain,37.2300993,-3.0679614
Argone Power Plant Spain,37.2300993,-3.0679614
Arias Power Plant Spain,37.2300993,-3.0679614
Ariestolas Power Plant Spain,41.9640425,0.1930413
Arriba Power Plant Spain,37.2300993,-3.0679614
H. avia Power Plant Spain,37.2300993,-3.0679614
Barasona s.jose Power Plant Spain,40.3477596,-2.886661
Björkfors Power Plant Finland,61.23592949999999,21.4347339
Buitreras Power Plant Spain,37.2300993,-3.0679614
Aznar Power Plant Spain,37.2300993,-3.0679614
C.h.castrelo Power Plant Spain,42.48118840000001,-8.803151999999999
Ciego Power Plant Spain,37.2300993,-3.0679614
Cierves Power Plant Spain,37.2300993,-3.0679614
Clarianacal Power Plant Spain,37.2300993,-3.0679614
Confirel Power Plant Spain,40.46366700000001,-3.74922
Enercrisa Power Plant Spain,37.2300993,-3.0679614
Arni engelberg Power Plant Switzerland,46.8200266,8.4069918
Feixa Power Plant Spain,37.2300993,-3.0679614
Fervenza Power Plant Spain,37.2300993,-3.0679614
Galleto Power Plant,41.87194,12.56738
Amfard Power Plant,47.72008959999999,1.5801954
Ec włocławek Power Plant,52.6483303,19.0677357
Enipower livorno Power Plant,43.548473,10.3105674
Alcala jucar Power Plant,39.1669696,-1.3855161
Limmern Power Plant,46.8784824,8.9820654
Agueda Power Plant,37.2300993,-3.0679614
Alqueria Power Plant,37.2300993,-3.0679614
Antrel Power Plant,37.2300993,-3.0679614
Argone Power Plant,37.2300993,-3.0679614
Arias Power Plant,37.2300993,-3.0679614
Ariestolas Power Plant,41.9640425,0.1930413
Arriba Power Plant,37.2300993,-3.0679614
H. avia Power Plant,37.2300993,-3.0679614
Barasona s.jose Power Plant,40.3477596,-2.886661
Björkfors Power Plant,61.23592949999999,21.4347339
Buitreras Power Plant,37.2300993,-3.0679614
Aznar Power Plant,37.2300993,-3.0679614
C.h.castrelo Power Plant,42.48118840000001,-8.803151999999999
Ciego Power Plant,37.2300993,-3.0679614
Cierves Power Plant,37.2300993,-3.0679614
Clarianacal Power Plant,37.2300993,-3.0679614
Confirel Power Plant,40.46366700000001,-3.74922
Enercrisa Power Plant,37.2300993,-3.0679614
Arni engelberg Power Plant,46.8200266,8.4069918
Feixa Power Plant,37.2300993,-3.0679614
Fervenza Power Plant,37.2300993,-3.0679614
Fuensanta Power Plant,39.2451555,-2.0690225
Gandara Power Plant,37.2300993,-3.0679614
Gavet Power Plant,37.2300993,-3.0679614
Girasol Power Plant,37.2300993,-3.0679614
Gonzalez carreno Power Plant,43.54856179999999,-5.7932008
Hollersbach Power Plant,47.2766098,12.4241758
Pie presa itoiz Power Plant,42.8024219,-1.3610725
Koivukoski Power Plant,64.2265503,27.7353377
Tolsa Power Plant,37.2300993,-3.0679614
Miller Power Plant,40.46366700000001,-3.74922
Andres Power Plant,37.2300993,-3.0679614
Agavanzal Power Plant,42.6164305,-6.5673167
Pata mulo Power Plant,37.2300993,-3.0679614
Ponte Power Plant,37.2300993,-3.0679614
Porma Power Plant,37.2300993,-3.0679614
Montanana Power Plant,37.2300993,-3.0679614
Puentelarra Power Plant,42.7529691,-3.0472917
Quintana Power Plant,37.2300993,-3.0679614
Restano Power Plant,37.2300993,-3.0679614
Cantillana Power Plant,37.6109062,-5.8235168
Seda Power Plant,37.2300993,-3.0679614
Sohlstufe hallein Power Plant,47.8213216,13.0341122
Sossis Power Plant,37.2300993,-3.0679614
Talavera Power Plant,37.2300993,-3.0679614
Toro Power Plant,40.46366700000001,-3.74922
Tranco lobo Power Plant,38.175824,-2.7943211
Trattenbach Power Plant,47.6027959,15.8917888
Urdon Power Plant,43.255701,-4.6505274
Urstein Power Plant,47.516231,14.550072
Vadillos Power Plant,42.1950838,-2.4489806
Valdemingomez Power Plant,37.2300993,-3.0679614
Universitat valencia Power Plant,39.4793254,-0.3593863
Vallat Power Plant,40.0371984,-0.3324856
Vallespir Power Plant,37.2300993,-3.0679614
Nedalsfoss Power Plant,60.47202399999999,8.468945999999999
Knäred nedre Power Plant,56.5200958,13.3166101
Knäred övre Power Plant,56.5200958,13.3166101
Ljusne strömmar Power Plant,61.2114046,17.1266474
Aggius bortigiadas viddalba Power Plant,40.8909278,9.042497599999999
Sclafani bagni Power Plant,37.7182588,13.8287267
Amdal Power Plant,60.4994265,7.1424007
Asmulfoss Power Plant,60.47202399999999,8.468945999999999
Biomasse bando d'argenta Power Plant,41.87194,12.56738
Bingsfoss Power Plant,60.47202399999999,8.468945999999999
Bjorgum Power Plant,60.47202399999999,8.468945999999999
Calcinere Power Plant,45.1834431,8.2766123
Cartiera reno medici santa giustina Power Plant,46.0734131,12.0364362
Cimena Power Plant,45.1834431,8.2766123
Contrasto c.le Power Plant,37.64962999999999,14.8050915
Cornia Power Plant,43.167561,10.8053254
Covalou Power Plant,41.87194,12.56738
Contrada corvo cozzo miturro Power Plant,45.2050768,8.612361000000002
S.damiano Power Plant,43.0614954,12.618054
Duino Power Plant,45.7753929,13.6026211
Edessaios Power Plant,39.074208,21.824312
Eidefossen Power Plant,61.87602699999999,9.094980099999999
Follafoss Power Plant,63.98555750000001,11.1072278
Fontana bianca Power Plant,46.4853062,10.8315293
Forsa Power Plant,60.47202399999999,8.468945999999999
Funnefoss Power Plant,60.02744909999999,11.323278
Furset Power Plant,60.47202399999999,8.468945999999999
Gausbu Power Plant,60.47202399999999,8.468945999999999
Grasjo Power Plant,60.47202399999999,8.468945999999999
Greci Power Plant,41.87194,12.56738
Guarnieri Power Plant,45.0715127,9.8701325
Guolas Power Plant,60.47202399999999,8.468945999999999
Hagen kabel Power Plant,51.3670777,7.4632841
Hegsetfoss Power Plant,60.47202399999999,8.468945999999999
Hogga Power Plant,59.3107899,9.045224200000002
Kalvedalen Power Plant,60.47202399999999,8.468945999999999
Kaupanger Power Plant,60.4994265,7.1424007
Lacedonia Power Plant,41.075059,15.377383
