Area / Date,Production Type,Code,Name,Intalled Capacity at the beginning of year [MW],Current Installed Capacity [MW],Location,Voltage Connection Level [kV],Commissioning Date,Decommissioning Date,country
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN00000PEMBL,PEMB,2305,2305,GB,400,26.11.2010,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN00000PEHEU,PEHE,1840,1840,GB,275,29.03.2005,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN00000STAYA,STAY,1828,1828,GB,400,26.03.2009,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN0000CNQPSG,CNQPS,1500,1500,GB,400,01.01.2000,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN0000DIDCBC,DIDCB,1490,1490,GB,400,01.01.2000,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN0000GRAINU,GRAIN,1365,1365,GB,400,27.07.2009,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN0000WBURB5,WBURB,1360,1360,GB,400,28.05.2010,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN00000SEAB5,SEAB,1258,1258,GB,400,01.01.2000,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN00000HUMR2,HUMR,1240,1240,GB,400,29.04.2003,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN00000SCCLO,SCCL,1200,1200,GB,275,01.01.2000,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN0000BARKBL,BARKB,1000,1000,GB,275,01.01.2000,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN000KILLPG5,KILLPG,1000,1000,GB,400,01.01.2000,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN00000MRWDO,MRWD,920,920,GB,400,29.08.2008,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN00000CARRI,CARR,910,910,GB,400,01.01.2016,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN00000LAGA3,LAGA,905,905,GB,400,19.06.2008,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN00000SPLNF,SPLN,903,903,GB,400,25.02.2004,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN00000KEAD4,KEAD,764,893,GB,400,01.01.2000,,GB
