Area / Date,Production Type,Code,Name,Intalled Capacity at the beginning of year [MW],Current Installed Capacity [MW],Location,Voltage Connection Level [kV],Commissioning Date,Decommissioning Date,country
BZN|GR / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,29WAISMEGAL-V--J,MEGALOPOLI_V,811,811,SOUTH GREECE,400,23.04.2015,,GR
BZN|GR / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,29WAISLAVRIO-IVM,LAVRIO4,550,550,SOUTH GREECE,400,01.01.2014,,GR
BZN|GR / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,29WAISKOMOTIN-IO,KOMOTINI,476,476,NORTH GREECE,400,01.01.2014,,GR
BZN|GR / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,29WKORINTHOSPWR6,KORINTHOS_POWER,433,433,SOUTH GREECE,400,01.01.2014,,GR
BZN|GR / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,29WPROTERGIACC-4,PROTERGIA_CC,432,432,SOUTH_GREECE,400,01.01.2014,,GR
BZN|GR / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,29WHERON-CC----5,HERON_CC,422,422,SOUTH GREECE,400,01.01.2014,,GR
BZN|GR / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,29WAISALIVERI-53,ALIVERI5,417,417,SOUTH GREECE,400,01.01.2014,,GR
BZN|GR / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,29WELPEDISONTHIM,ELPEDISON_THISVI,410,410,SOUTH_GREECE,400,01.01.2014,,GR
BZN|GR / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,29WENERGEIAKITHP,ELPEDISON_THESS,400,400,NORTH GREECE,400,01.01.2014,,GR
BZN|GR / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,29WAISLAVRIO-V-A,LAVRIO5,378,378,SOUTH GREECE,400,01.01.2014,,GR
BZN|GR / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,29WALOUMINIO---B,ALOUMINIO,334,334,SOUTH GREECE,400,01.01.2014,,GR
BZN|GR / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,29WHERONTHE--IIU,HERON2,49,49,SOUTH GREECE,400,01.01.2014,,GR
BZN|GR / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,29WHERONTHE---ID,HERON1,49,49,SOUTH GREECE,400,01.01.2014,,GR
BZN|GR / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,29WHERONTHE-IIIS,HERON3,49,49,SOUTH GREECE,400,01.01.2014,,GR
