Area / Date,Production Type,Code,Name,Intalled Capacity at the beginning of year [MW],Current Installed Capacity [MW],Location,Voltage Connection Level [kV],Commissioning Date,Decommissioning Date,country
BZN|IT-Centre-North / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S09SBRBU,S.BARBARA,391,391.0,9051013,380,31.12.2014,,IT
BZN|IT-Centre-North / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S09RSLCK,ROSELECTRA,380,380.0,9049017,380,31.12.2014,,IT
BZN|IT-Centre-North / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S09RSNOR,ROSEN,325,325.0,9049017,132,31.12.2014,,IT
BZN|IT-Centre-North / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S09AGPP4,ENIPOWER LIVORNO,203,203.0,9049008,132,31.12.2014,,IT
BZN|IT-Centre-North / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMYI-S11JSEIB,JESI,140,140.0,11042021,132,31.12.2016,,IT
BZN|IT-Centre-North / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S09CPLR3,PORCARI,102,102.0,9046026,132,23.12.2014,,IT
BZN|IT-Centre-North / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S09IPNT0,U.P. INTERECOGEN,31,31.0,9050033,132,31.12.2014,,IT
BZN|IT-Centre-North / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S09NPMVB,NUOVO PIGNONE MS,31,31.0,9045010,132,31.12.2014,,IT
BZN|IT-Centre-North / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-0904006J,Nova LT16,16,16.0,9048017,132,16.03.2017,,IT
BZN|IT-Centre-North / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-07528458,Tioxide Europe Scarlino,12,12.0,9053024,132,15.01.2015,,IT
BZN|IT-Centre-North / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S11ACPNS,API ENERGIA IGCC,240,,11042018,132,31.12.2014,02.01.2021,IT
