Area / Date,Production Type,Code,Name,Intalled Capacity at the beginning of year [MW],Current Installed Capacity [MW],Location,Voltage Connection Level [kV],Commissioning Date,Decommissioning Date,country
BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S12TRRVU,TORREVALDALIGA,1180,1180,12058032,380,17.11.2014,,IT
BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S13CDGNT,GISSI,840,840,13069041,380,23.12.2014,,IT
BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-0300653B,CCGT APRILIA,787,787,12059001,380,23.12.2014,,IT
BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S15SCPRH,SPARANISE,760,760,15061089,380,31.12.2014,,IT
BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S12MCNTU,MONTALTO C.LE,934,704,12056035,380,31.12.2014,,IT
BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S15STTV3,CENTRALE DI TEVEROLA,404,404,15061092,380,23.12.2014,,IT
BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S15NLPLI,NAPOLI L,400,400,15063049,220,23.12.2014,,IT
BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S10PTRFC,PIETRAFITTA,365,365,10054040,220,17.11.2014,,IT
BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMZI-S13SCNDR,CELANO,175,175,13066032,150,31.12.2016,,IT
BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S13BSSUZ,BUSSI,122,122,13068005,150,23.12.2014,,IT
BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S13CTTM2,CTE TAMARETE,115,115,13069058,150,31.12.2014,,IT
BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S15SGTL1,POMIGLIANO D'ARCO,105,105,15063057,220,23.12.2014,,IT
BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S10ETDS9,TERNI,95,95,10055032,132,31.12.2014,,IT
BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S10NMRNY,NERA MONTORO,56,56,10055022,150,31.12.2014,,IT
BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-0361630J,TERMICA COLLEFERRO,44,44,12058034,15,31.12.2014,,IT
BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-0817510V,CASSINO-META,41,41,12060052,150,13.02.2015,,IT
BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S12SDSY8,SORA,42,30,12060074,150,31.12.2014,,IT
BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-08737107,Tor di Valle MCI,18,27,12058091,150,07.09.2017,,IT
BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S13BCRGJ,AVEZZANO,50,26,13066006,150,07.10.2014,,IT
BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-1003453H,Cassino Trigenerazione,19,19,12060052,150,24.06.2018,,IT
BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S12ADRR4,CENTRALE DI COGENERAZIONE AEROPORTO FIUMICINO,10,10,12058120,20,31.12.2014,,IT
