Area / Date,Production Type,Code,Name,Intalled Capacity at the beginning of year [MW],Current Installed Capacity [MW],Location,Voltage Connection Level [kV],Commissioning Date,Decommissioning Date,country
BZN|IT-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S16EBNPL,ENIPOWER BRINDISI,1217,1217,16074001,380,31.12.2014,,IT
BZN|IT-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S16CDMNU,SORGENIA PUGLIA CENTRALE DI MODUGNO,810,810,16072027,380,31.12.2014,,IT
BZN|IT-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S14TERME,ENERGIA MOLISE,769,769,14070078,380,23.12.2014,,IT
BZN|IT-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S16CSSCB,RATINO,419,419,16071051,380,31.12.2014,,IT
BZN|IT-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S16CNDLL,CANDELA,401,401,16071009,380,23.12.2014,,IT
BZN|IT-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S14LTRNT,LARINO TG,248,248,14070083,150,31.12.2014,,IT
BZN|IT-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S17COVDA,CENTRO OLIO VAL D'AGRI,12,12,17076098,20,31.12.2014,,IT
BZN|IT-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S14ARGPA,SAN NICOLA,11,11,14070061,150,31.12.2014,,IT
BZN|IT-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S14CTTLZ,TORRENTE TONA,11,11,14070061,150,31.12.2014,,IT
BZN|IT-South / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,26WIMPI-S14ETEAI,MASSERIA VINCELLI,5,5,14070047,20,31.12.2014,,IT
