Area / Date,Production Type,Code,Name,Intalled Capacity at the beginning of year [MW],Current Installed Capacity [MW],Location,Voltage Connection Level [kV],Commissioning Date,Decommissioning Date,country
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W000000000044-,Eemshaven,1410,1410,intra_zonal,380,10.12.2014,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W000000000069K,Claus,1304,1304,intra_zonal,380,24.07.2014,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W000000000046W,Velsen,869,869,intra_zonal,150,10.12.2014,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W000000000058P,Enecogen,844,844,Rotterdam-Europoort,380,06.01.2011,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W0000000001128,Rijmond,790,790,intra_zonal,150,06.06.2017,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W000000000063W,Moerdijk,766,766,intra_zonal,150,24.07.2014,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W0000000000431,Diemen,684,684,intra_zonal,380,10.12.2014,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W000000000048S,Elsta,455,455,intra_zonal,150,01.03.2012,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W000000000045Y,Hemweg,440,440,intra_zonal,150,10.12.2014,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W0000000000512,Sloecentrale 10,435,435,intra_zonal,380,01.01.2014,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W000000000117Z,Sloecentrale 20,435,435,intra_zonal,380,01.01.2014,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W000000000074R,FLEVO 5,428,428,Netherlands,150,21.10.2009,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W0000000001225,Maastroom Energie CV,426,426,intra_zonal,380,01.01.2015,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W000000000072V,FLEVO 4,423,423,Netherlands,380,08.05.2009,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W000000000080W,Eems 7,360,360,NL,380,01.01.2000,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W000000000082S,Eems 6,360,360,NL,380,01.01.2000,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W000000000084O,Eems 5,360,360,NL,220,01.01.2000,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W000000000086K,Eems 4,360,360,NL,220,01.01.2000,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W000000000088G,Eems 3,360,360,NL,220,01.01.2000,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W000000000152X,Delesto 2,343,343,Farmsum,110,10.01.2007,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W000000000047U,LW 06 Utrecht,248,248,Keulsekade 181,150,30.12.2000,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W000000000090T,MK12 Utrecht,225,225,Keulsekade 181,150,30.12.2000,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W0000000001047,RoCa,220,220,intra_zonal,150,11.12.2014,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W000000000061-,Swentibold,209,209,intra_zonal,150,24.07.2014,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W000000000096H,Eems 20,131,131,NL,220,01.01.2000,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W0000000000504,NAM Schoonebeek,128,128,Netherlands,110,20.06.2011,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W000000000092P,PERGEN 1,125,125,intra_zonal,150,01.01.2014,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W000000000094L,PERGEN 2,125,125,intra_zonal,150,01.01.2014,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W0000000000342,Den Haag,112,112,intra_zonal,150,11.12.2014,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W0000000001233,Bergum 10,72,72,NL,220,01.10.1974,,NO
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,49W000000000135X,Bergum 20,72,72,NL,220,01.06.1975,,NO
