Area / Date,Production Type,Code,Name,Intalled Capacity at the beginning of year [MW],Current Installed Capacity [MW],Location,Voltage Connection Level [kV],Commissioning Date,Decommissioning Date,country
BZN|PL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,19W000000000283T,Płock,630.0,630,Polska,400,30.05.2017,,PL
BZN|PL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,19W000000000290W,EC Żerań 2,,497,Polska,220,12.05.2020,,PL
BZN|PL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,19W000000000256W,EC Włocławek,465.0,465,Polska,220,31.10.2015,,PL
BZN|PL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,19W000000000284R,EC Stalowa Wola,467.0,450,Polska,220,01.04.2019,,PL
BZN|PL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,19W0000000001098,EC Wrotków,231.0,231,Polska,110,01.01.2011,,PL
BZN|PL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,19W000000000230D,Zielona Góra,188.0,188,Polska,220,01.01.2011,,PL
BZN|PL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,19W000000000274U,Gorzów 2,138.0,138,Polska,110,01.01.2016,,PL
BZN|PL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,19W0000000000571,EC Nowa Sarzyna,129.0,129,Polska,110,01.01.2011,,PL
BZN|PL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,19W000000000169R,EC Rzeszów,101.0,101,Polska,110,01.01.2011,,PL
BZN|PL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,19W000000000293Q,EC Toruń,101.0,101,Polska,60,15.03.2017,,PL
BZN|PL / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,19W000000000060C,Gorzów,70.0,70,Polska,110,25.07.2012,,PL
