Area / Date,Production Type,Code,Name,Intalled Capacity at the beginning of year [MW],Current Installed Capacity [MW],Location,Voltage Connection Level [kV],Commissioning Date,Decommissioning Date,country
BZN|ES / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,18WBES5-123456-T,BESOS 5,859,859,Barcelona,220,01.01.2012,,SE
BZN|ES / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,18WPGR5-123456-J,P.G.RODR 5,856,856,A Coruña,400,01.01.2012,,SE
BZN|ES / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,18WCTN4-123456-C,CASTELLO 4,839,839,Castellón,400,01.01.2012,,SE
BZN|ES / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,18WARCOS3-123-0Z,ARCOS3,823,823,Cádiz,400,01.01.2012,,SE
BZN|ES / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,18WALG3-12345--K,ALG3,821,821,Cádiz,220,01.01.2012,,SE
BZN|ES / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,18WESC6-12345-07,ESC IBER 6,816,816,Murcia,400,01.01.2012,,SE
BZN|ES / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,18WECT3-123456-N,ESCAT3,804,804,Zaragoza,400,01.01.2012,,SE
BZN|ES / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,18WCTNU-12345-0U,CASTELNOU,791,791,Teruel,400,01.01.2012,,SE
BZN|ES / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,18WAMBIETA-12-0S,AMBIETA,786,786,Vizcaya,400,01.01.2012,,SE
BZN|ES / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,18WBAHIAB-123-0X,BAHIAB,785,785,Vizcaya,400,01.01.2012,,SE
BZN|ES / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,18WCTN3-12345-04,CASTELLO 3,782,782,Castellón,400,01.01.2012,,SE
BZN|ES / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,18WPBCN1-12345-D,PBCN1,435,435,Barcelona,220,01.01.2012,,SE
BZN|ES / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,18WPBCN2-12345-4,PBCN2,431,431,Barcelona,220,01.01.2012,,SE
BZN|ES / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,18WSRI5-123456-L,SOTO5,428,428,Asturias,400,01.01.2012,,SE
BZN|ES / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,18W18WSRI4--123V,SOTORIBE 4,426,426,Asturias,400,01.01.2012,,SE
BZN|ES / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,18WCTJON1-123-06,CASTEJO1 H,425,425,Navarra,400,01.01.2012,,SE
BZN|ES / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,18WPVENT1--1234A,PVENT1,420,420,Tarragona,400,01.01.2012,,SE
BZN|ES / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,18WCTJON3--1234S,CASTEJO3 H,418,418,Navarra,400,01.01.2012,,SE
BZN|ES / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,18WCTGN1-1234-0C,ESC CART 1,418,418,Murcia,400,01.01.2012,,SE
BZN|ES / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,18WCTGN2-1234-03,ESC CART 2,418,418,Murcia,400,01.01.2012,,SE
BZN|ES / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,18WTAPOWER-12-0V,TARRAG IB,417,417,Tarragona,220,01.01.2012,,SE
BZN|ES / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,18WMALA1-12345-L,MALA1,416,416,Málaga,220,01.01.2012,,SE
BZN|ES / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,18WPVENT2--12342,Plana del Vent,414,414,cross_zonal,400,01.01.2012,,SE
