CARMA,Name,Name,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Fueltype,Fueltype,Technology,Technology,Technology,Technology,Technology,Technology,Set,Set,Set,Set,Set,Set,Country,Country,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Efficiency,Efficiency,Efficiency,Efficiency,Efficiency,Efficiency,Duration,Duration,Duration,Duration,Duration,Duration,Volume_Mm3,Volume_Mm3,Volume_Mm3,Volume_Mm3,Volume_Mm3,Volume_Mm3,DamHeight_m,DamHeight_m,DamHeight_m,DamHeight_m,DamHeight_m,DamHeight_m,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,Retrofit,Retrofit,Retrofit,Retrofit,Retrofit,Retrofit,lat,lat,lat,lat,lat,lat,lon,lon,lon,lon,lon,lon,projectID,projectID,projectID,projectID,projectID,projectID
,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD
id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Alta statkraft,Alta krv,Alta kraftverk norway,Alta krv,Alta,Alta,Hydro,Hydro,Hydro,Hydro,Hydro,Hydro,,,Reservoir,,Reservoir,Reservoir,PP,PP,PP,,Store,PP,Norway,Norway,Norway,Norway,Norway,Norway,130.52707104291858,165.0,148.0891719745223,180.0,150.0,100.0,,,,,,,0.0,0.0,0.0,0.0,389.7,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0,,,1987.0,,,,,,1987.0,,,,69.96887,69.95502979999999,69.70483,69.7049,69.718538,69.705012,23.27165,23.3279046,23.81864,23.8185,23.807803,23.818703,['CARMA1122'],['50WP00000000006N'],['GEO45724'],['WRI1002997'],['N278'],['OEU5361']
1,Porabka,Porąbka żar,Porabka,Porąbka,Porabka porabka porabka,Porąbka żar,Hydro,Hydro,Hydro,Hydro,Hydro,Hydro,,,Pumped Storage,,Pumped Storage,Pumped Storage,PP,PP,PP,,Store,Store,Poland,Poland,Poland,Poland,Poland,Poland,445.92398370629087,540.0,485.220433394694,553.0,552.4394904458597,540.0,,,,,,,0.0,0.0,0.0,0.0,3.620305996564169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1953.0,1953.0,,,,,1998.0,,,,49.8171638890921,49.779579999999996,49.7941,49.7939,49.7888983,49.77957,19.218349456787106,19.2120064,19.206740000000003,19.2069,19.206831550000004,19.212,"['CARMA35310', 'CARMA35311']",['19W000000000247X'],"['GEO42472', 'GEO42466']","['WRI1061543', 'WRI1019048']","['H1649', 'H50']","['OEU302', 'OEU301', 'OEU300', 'OEU299']"
2,Zydowo,Żydowo,Zydowo,Żydowo,Żydowo zydowops zydowo,Żydowo,Hydro,Hydro,Hydro,Hydro,Hydro,Hydro,,,Pumped Storage,,Pumped Storage,Pumped Storage,PP,PP,Store,,Store,Store,Poland,Poland,Poland,Poland,Poland,Poland,130.52707104291858,157.0,142.77984477054792,157.0,157.0,167.0,,,,,,,0.0,0.0,0.0,0.0,4.267515923566879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1971.0,1971.0,,,,,1971.0,,,,52.550119,54.0424371,54.024965,54.0251,54.0216713,54.02601000000001,16.752855,16.7161915,16.7069,16.7069,16.7385445,16.71386,['CARMA51126'],['19W0000000002426'],['GEO42470'],['WRI1019070'],['H315'],"['OEU332', 'OEU331', 'OEU333']"
3,Zarnowiec,Żarnowiec,Zarnowiec,Żarnowiec,Żarnowiec zarnowiec zarnowiec,Żarnowiec,Hydro,Hydro,Hydro,Hydro,Hydro,Hydro,,,Pumped Storage,,Pumped Storage,Pumped Storage,PP,PP,Store,,Store,Store,Poland,Poland,Poland,Poland,Poland,Poland,626.5299410060093,716.0,677.0223103027305,716.0,716.0,716.0,,,,,,,0.0,0.0,0.0,0.0,5.027932960893855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1983.0,1983.0,,,,,2006.0,,,,54.7877204055916,54.78741579999999,54.7225,54.7224,54.76976550000001,54.74201,18.085041046142603,18.0856717,18.0825,18.0825,18.0466655,18.08924,['CARMA50891'],['19W0000000002418'],['GEO42483'],['WRI1019043'],['H36'],"['OEU327', 'OEU330', 'OEU329', 'OEU328']"
4,Svartisen,Svartisen,Svartisen norway,Svartisen,Svartisen,Svartisen,Hydro,Hydro,Hydro,Hydro,Hydro,Hydro,,,Reservoir,,Reservoir,Reservoir,PP,PP,PP,,Store,PP,Norway,Norway,Norway,Norway,Norway,Norway,304.5631657668101,720.0,592.3566878980891,780.0,600.0,600.0,,,,,,,0.0,0.0,0.0,0.0,8116.39,0.0,0.0,0.0,0.0,0.0,3506.0,0.0,0.0,0.0,0.0,0.0,543.0,0.0,,,1993.0,,,,,,2011.0,,,,66.8166667,66.6333333,66.7263,66.7282,66.724624,66.728748,13.9666667,14.0,13.9136,13.9135,13.941961,13.914312,['CARMA43936'],['50WP00000000695B'],['GEO45740'],['WRI1003551'],['N250'],"['OEU5416', 'OEU5417']"
5,Solina,Solina,Solina,Solina,Solina solina solina,Solina,Hydro,Hydro,Hydro,Hydro,Hydro,Hydro,,,Pumped Storage,,Pumped Storage,Pumped Storage,PP,PP,Store,,Store,Store,Poland,Poland,Poland,Poland,Poland,Poland,174.03609472389147,198.0,189.11237717953367,198.0,200.0,198.0,,,,,,,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1968.0,1968.0,,,,,2000.0,,,,49.3948875168789,49.3993322,49.3956,49.3959,49.3958323,,22.459659576416,22.467730300000003,22.454,22.4541,22.460691600000004,,['CARMA42275'],['19W0000000002515'],['GEO42474'],['WRI1019065'],['H241'],"['OEU315', 'OEU316', 'OEU318', 'OEU317']"
6,Dalesice,Edal,Dalesice republic,Dalešice,Edal dalesice czech,Dalešice,Hydro,Hydro,Hydro,Hydro,Hydro,Hydro,,,Pumped Storage,,Pumped Storage,Pumped Storage,PP,PP,Store,,Store,Store,Czech Republic,Czech Republic,Czech Republic,Czech Republic,Czech Republic,Czech Republic,391.5812131287558,472.0,425.50284865395076,480.0,480.0,480.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,,1978.0,,,,,,1978.0,,,,49.16375531989671,,49.125,49.1245,49.124001,49.12446,16.0157699730478,,16.1224,16.1242,16.124001,16.1242,['CARMA10090'],['27W-PU-EDAL----O'],['GEO42363'],['WRI1019203'],['H64'],"['OEU334', 'OEU335', 'OEU336', 'OEU337']"
7,Seitevare,Seitevare,Seitevare,Seitevare,Seitevare seitevare seitevare,Seitevare,Hydro,Hydro,Hydro,Hydro,Hydro,Hydro,,,Reservoir,,Reservoir,Reservoir,PP,PP,PP,,Store,PP,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,195.7906065643779,225.0,222.13375796178343,214.0,225.0,225.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1675.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,,,1967.0,,,,,,1967.0,,,,68.8666667,66.97529000000002,66.97610999999999,66.9764,66.976846,66.976846,20.35,18.587039899999997,18.578056,18.5748,18.573706,18.573706,['CARMA40432'],['46WPU0000000033U'],['GEO46254'],['WRI1002111'],['H222'],['OEU5478']
