id,Unnamed: 0,ID BNetzA,uba_match_name,uba_match_fuel
0,,BNA0005,Ahrensfelde A bis D,Erdgas
1,,BNA0006,Ahrensfelde A bis D,Erdgas
2,,BNA0007,Ahrensfelde A bis D,Erdgas
3,,BNA0008,Ahrensfelde A bis D,Erdgas
4,,BNA0010a,Albbruck-Dogern,Wasser
5,,BNA0010b,Albbruck-Dogern,Wasser
6,,BNA0015,"Altbach/Deizisau GT A-C, E",Erdgas
7,,BNA0016,"Altbach/Deizisau GT A-C, E",Erdgas
8,,BNA0017,"Altbach/Deizisau GT A-C, E",Erdgas
9,,BNA0018,"Altbach/Deizisau GT A-C, E",Erdgas
10,,BNA0019,Altbach/Deizisau HKW 1,Steinkohle
11,,BNA0020,Altbach/Deizisau HKW 2,Steinkohle
12,,BNA1659,Amrumbank West,Wind (O)
13,,BNA0027,Arneburg,Biomasse
14,,BNA0028a,Arneburg,Wind (L)
15,,BNA0028b,Arneburg,Wind (L)
16,,BNA1660,Baltic II (Kriegers Flak I),Wind (O)
17,,BNA0039,BARD Offshore,Wind (O)
18,,BNA0067,Bergkamen A,Steinkohle
19,,BNA0074,Berlin-Charlottenburg 4 bis 6,Erdgas
20,,BNA0081,Berlin-Klingenberg,Braunkohle
21,,BNA0075,Berlin-Lichterfelde 1,Erdgas
22,,BNA0076,Berlin-Lichterfelde 2,Erdgas
23,,BNA0080,Berlin-Lichterfelde 3,Erdgas
24,,BNA0073,Berlin-Mitte HKW GT 1,Erdgas
25,,BNA0073,Berlin-Mitte HKW GT 2,Erdgas
26,,BNA0073,Berlin-Mitte HKW DT,Erdgas
27,,BNA0085a,Berlin-Moabit A,Steinkohle
28,,BNA0082,Berlin-Reuter C,Steinkohle
29,,BNA0086,Berlin-Reuter-West D,Steinkohle
30,,BNA0087,Berlin-Reuter-West E,Steinkohle
31,,BNA0083,Berlin-Wilmersdorf 1 bis 3,HEL
32,,BNA0088b,Bernburg,Erdgas
33,,BNA0088a,Bernburg,Erdgas
34,,BNA0093,Bexbach,Steinkohle
35,,BNA0102,Biere / Borne,Wind (L)
36,,BNA0105,Bitterfeld Chemiepark,Erdgas
37,,BNA1559,Borkum Riffgrund I,Wind (O)
38,,BNA1565,Borkum West,Wind (O)
39,,BNA0122,Boxberg N,Braunkohle
40,,BNA0123,Boxberg P,Braunkohle
41,,BNA0124,Boxberg Q,Braunkohle
42,,BNA1404,Boxberg R,Braunkohle
43,,BNA0529,Braunau-Simbach / Inn,Wasser
44,,BNA0135,Braunschweig-Mitte,"Erdgas, Steinkohle"
45,,BNA0136,Braunschweig-Mitte,"Erdgas, Steinkohle"
46,,BNA0138,Braunschweig-Mitte,"Erdgas, Steinkohle"
47,,BNA0147,Bremen-Farge,Steinkohle
48,,BNA0146,"Bremen-Hafen 6, (Elfi)",Steinkohle
49,,BNA0144,Bremen-Hastedt 15,Steinkohle
50,,BNA0142,Bremen-Mittelsbüren 4,Gichtgas
51,,BNA0157,Brokdorf (KBR),Uran
52,,BNA0161,Brunsbüttel A bis D,HEL
53,,BNA0162,Brunsbüttel A bis D,HEL
54,,BNA0163,Brunsbüttel A bis D,HEL
55,,BNA0164,Brunsbüttel A bis D,HEL
56,,BNA0172a,Burghausen,Erdgas
57,,BNA0439,Buschhaus (Helmstedt),Braunkohle
58,,BNA1564,Butendiek,Wind (O)
59,,BNA0179,Chemnitz Nord II C/30,Braunkohle
60,,BNA1548,Dahme,Wind (L)
61,,BNA1560,DanTysk,Wind (O)
62,,BNA1487,Darmstadt,Erdgas
63,,BNA0199,Dormagen,Erdgas
