,Source,projectID,Name,Fueltype,lat,lon
0,ENTSOE,44W-T-YT-000020M,,Natural Gas,,
1,ENTSOE,26WIMPI-S13BSSUZ,,Natural Gas,,
2,ENTSOE,26WIMPI-S18SCNDX,,Natural Gas,,
3,ENTSOE,26WIMPI-S07SCPZX,,Natural Gas,,
4,ENTSOE,26WIMPI-0543164A,,Natural Gas,,
5,ENTSOE,26WIMPI-S03BBSR5,,Natural Gas,,
6,ENTSOE,26WIMPI-S02MNAEP,,Natural Gas,,
7,ENTSOE,26WIMZI-S11JSEI0,,Natural Gas,,
8,ENTSOE,26WIMPI-S03TVZZK,,Natural Gas,,
9,ENTSOE,26WIMPI-S14TERME,,Natural Gas,,
10,ENTSOE,26WIMPI-S18RTSN9,,Natural Gas,,
11,ENTSOE,26WIMPI-S12AOCS3,,Natural Gas,,
12,ENTSOE,26WIMPI-S06ECLTM,,Natural Gas,,
13,ENTSOE,26WIMPI-S06TRVC2,,Natural Gas,,
14,ENTSOE,26WIMPI-S05APGPJ,,Natural Gas,,
15,ENTSOE,26WIMPI-S03FERRD,,Natural Gas,,
16,ENTSOE,26WIMPI-S10NMRNY,,Natural Gas,,
17,ENTSOE,26WIMPI-S03ATSMM,,Natural Gas,,
18,ENTSOE,26WIMPI-S03FMGSC,,Natural Gas,,
19,ENTSOE,26WIMPI-S12ATCRM,,Natural Gas,,
20,ENTSOE,26WIMPI-S10PTRFC,,Natural Gas,,
21,ENTSOE,26WIMPI-S03DBLMQ,,Natural Gas,,
22,ENTSOE,26WIMPI-S15TDARG,,Natural Gas,,
23,ENTSOE,26WIMPI-S08AGCA5,,Natural Gas,,
24,ENTSOE,26WIMPI-S14LTRNT,,Natural Gas,,
25,ENTSOE,26WIMPI-S19APGPP,,Natural Gas,,
26,ENTSOE,26WIMPI-S07GTNV2,,Natural Gas,,
27,ENTSOE,26WIMPI-S03TRBGZ,,Natural Gas,,
28,ENTSOE,26WIMPI-S16ETNPN,,Natural Gas,,
29,ENTSOE,26WIMPI-S09AGPP4,,Natural Gas,,
30,ENTSOE,26WIMPI-S08PCRTB,,Natural Gas,,
31,ENTSOE,26WIMPI-S15SCPRH,,Natural Gas,,
32,ENTSOE,26WIMPI-S08ERNPQ,,Natural Gas,,
33,ENTSOE,26WIMPI-S19IESBL,,Natural Gas,,
34,ENTSOE,26WIMPI-S08CCVRV,,Natural Gas,,
35,ENTSOE,26WIMPI-S15MTDD6,,Natural Gas,,
36,ENTSOE,26WIMPI-S08PLCNW,,Natural Gas,,
37,ENTSOE,26WIMYI-S06ELTTB,,Natural Gas,,
38,ENTSOE,26WIMPI-S12TRRVU,,Natural Gas,,
39,ENTSOE,26WIMPI-S07CERNC,,Natural Gas,,
40,ENTSOE,26WIMZI-S01BVRG0,,Natural Gas,,
41,ENTSOE,26WIMPI-S03SSSN8,,Natural Gas,,
42,ENTSOE,26WIMPI-S01ECLF6,,Natural Gas,,
43,ENTSOE,26WIMPI-S08LCCS4,,Natural Gas,,
44,ENTSOE,26WIMPI-S19TCRMT,,Natural Gas,,
45,ENTSOE,26WIMPI-S01MNRFF,,Natural Gas,,
46,ENTSOE,26WIMPI-S03EMC43,,Natural Gas,,
47,ENTSOE,26WIMPI-S16EBNPL,,Natural Gas,,
48,ENTSOE,12W-0000000902-P,Grande dixence,,
49,ENTSOE,12W-0000000034-F,Grande dixence,,
51,ENTSOE,26WIMPI-S09B3GN8,,,42.8416,11.5588
50,ENTSOE,26WIMPI-0602190V,,,42.8416,11.5588
52,ENTSOE,26WIMPI-S09C2RBZ,,,43.1791,10.8147
53,ENTSOE,26WIMPI-S09C1RB2,,,43.1791,10.8147
54,ENTSOE,26WIMPI-01528495,,,43.1605,11.0649
55,ENTSOE,26WIMPI-S09C2RNB,,,43.1695,10.8136
56,ENTSOE,26WIMPI-S09FRNLN,,,43.2388,10.9047
57,ENTSOE,26WIMPI-S09LGRSB,,,43.1668,10.7870
58,ENTSOE,26WIMPI-S09LPRTA,,,43.2033,10.8611
59,ENTSOE,26WIMPI-S09CSTVX,,,43.2113,10.9038
60,ENTSOE,26WIMPI-S09GBBRW,,,43.2783,10.9712
61,ENTSOE,26WIMPI-S09NLVGU,,,43.1735,10.8847
62,ENTSOE,26WIMPI-S09NLVR8,,,43.2270,10.8850
63,ENTSOE,26WIMPI-S09NMVLG,,,43.2160,10.8722
64,ENTSOE,26WIMPI-S09NMVNC,,,42.0645,12.6009
65,ENTSOE,26WIMPI-N09SLMRD,,,43.1553,10.8828
66,ENTSOE,26WIMPI-S09NSVSF,,,43.2191,10.9806
67,ENTSOE,26WIMPI-S09SRRZT,,,43.2040,10.8003
68,ENTSOE,26WIMPI-S09PNCC3,,,43.2105,11.0314
69,ENTSOE,26WIMPI-S09PNCNI,,,42.8335,11.7053
70,ENTSOE,26WIMPI-S09P5NC5,,,42.8335,11.7053
71,ENTSOE,26WIMPI-S09PNCT6,,,42.8335,11.7053
72,ENTSOE,26WIMPI-S09RNCAY,,,43.2380,11.1751
73,ENTSOE,26WIMPI-S09R2NC7,,,43.2380,11.1751
74,ENTSOE,26WIMPI-S09S2SST,,,43.1783,10.8586
75,ENTSOE,26WIMPI-S09S1LVB,,,43.1889,10.9276
76,ENTSOE,26WIMPI-S09S1STV,,,43.2393,10.9823
77,ENTSOE,26WIMPI-S09T4RVD,,,43.1661,11.0360
78,ENTSOE,26WIMPI-S09T3RVH,,,43.1661,11.0360
79,ENTSOE,26WIMPI-S09VSLLJ,,,43.2362,10.8689
