,CARMA,Capacity,Country,Duration,ENTSOE,ESE,Efficiency,Fueltype,GEO,GPD,IWPDCY,Name,OPSD,DateRetrofit,Set,Technology,WEPP,DateIn,last_update,lat,lon
0,,,,,,,,,,,,Vianden,BNA1675,,,Pumped storage,,,09. Aug 18,,
1,,,,,,,,,,,,Vianden,BNA0978,,,Pumped storage,,,09. Aug 18,,
2,,,,,,,,,,,,Vianden,BNA0979,,,Pumped storage,,,09. Aug 18,,
3,,,,,,,,,,,,Vianden,BNA0980,,,Pumped storage,,,09. Aug 18,,
4,,,,,,,,,,,,Vianden,BNA0981,,,Pumped storage,,,09. Aug 18,,
5,,,,,,,,,,,,Vianden,BNA0982,,,Pumped storage,,,09. Aug 18,,
6,,,,,,,,,,,,Vianden,BNA0983,,,Pumped storage,,,09. Aug 18,,
7,,,,,,,,,,,,Vianden,BNA0984,,,Pumped storage,,,09. Aug 18,,
8,,,,,,,,,,,,Vianden,BNA0985,,,Pumped storage,,,09. Aug 18,,
9,,,,,,,,,,,,Vianden,BNA0986,,,Pumped storage,,,09. Aug 18,,
10,,,,,,,,,,,,Vianden,BNA0987,,,Pumped storage,,,09. Aug 18,,
11,,1291,,,,ESE15,,,,,,Vianden,,,,,,,19. Aug 2018,,
12,,638,,,,,,,,,,Niederaussem,BNA0707,,,,,,09. Aug 18,,
13,,,,,,,,,,,,Huntdorf,BNA0239,,,CAES,,,09. Aug 18,,
14,,,,,,,,,,,,Kozienice 2 B11,OEU268,,,,,2017,09. Aug 18,,
15,,,,,,,,,GEO42367,,,,,1936,,,,1936,,,
16,,,,,44W-T-YT-000020M,,,Natural Gas,,,,,,,,,,,19. Aug 2018,,
17,,,,,26WIMPI-S13BSSUZ,,,Natural Gas,,,,,,,,,,,19. Aug 2018,,
18,,,,,26WIMPI-S18SCNDX,,,Natural Gas,,,,,,,,,,,19. Aug 2018,,
19,,,,,26WIMPI-S07SCPZX,,,Natural Gas,,,,,,,,,,,19. Aug 2018,,
20,,,,,26WIMPI-0543164A,,,Natural Gas,,,,,,,,,,,19. Aug 2018,,
21,,,,,26WIMPI-S03BBSR5,,,Natural Gas,,,,,,,,,,,19. Aug 2018,,
