Name;Block;Technology;Capacity;DateIn;DateRetrofit;Country;lat;lon;Fueltype;source
Olkiluoto;3;PWR;1600;2022;-;Finland;61,23666667;21,44222222;Nuclear;https://www.world-nuclear-news.org/Articles/Turbine-work-delays-Olkiluoto-3-start-up
Flamanville;3;EPR (DWR);1.600;2024;-;France;47,90361111;7,5625;Nuclear;https://www.neimagazine.com/news/newsflamanville-3-startup-pushed-back-to-2024-7853088
Kaliningrad;1;WWER-1000/491;1.109;;-;Russian Federation;54,940619;22,166276;Nuclear;
Mochovce;3;PWR;440;2021;-;Slovakia;48,26388889;18,45694444;Nuclear;https://www.world-nuclear-news.org/Articles/New-nuclear-reactor-will-make-Slovakia-a-power-exp
Mochovce;4;PWR;440;2023;-;Slovakia;48,26388889;18,45694444;Nuclear;https://www.world-nuclear-news.org/Articles/New-nuclear-reactor-will-make-Slovakia-a-power-exp
Temel’n;3 und 4;DWR;892;;-;Czechia;49,18194444;14,38138889;Nuclear;
Chmelnyzkyj;3;PWR;1035;2025;-;Ukraine;50,305;26,645;Nuclear;https://www.world-nuclear-news.org/Articles/Construction-work-resumes-on-Khmelnitsky-units
Chmelnyzkyj;4;PWR;1035;2025;-;Ukraine;50,305;26,645;Nuclear;https://www.world-nuclear-news.org/Articles/Construction-work-resumes-on-Khmelnitsky-units
Hinkley Point;C1;EPR Ê [56];1.630;2026;-;United Kingdom;50,91388889;0,963888889;Nuclear;https://www.bbc.com/news/uk-england-somerset-57227918
Hinkley Point;C2;EPR Ê [57];1.630;2026;-;United Kingdom;50,91388889;0,963888889;Nuclear;https://www.bbc.com/news/uk-england-somerset-57227918
Windscale AGR [60] [21];1;AGR;-;-;1957;United Kingdom;52,21666667;1,619444444;Nuclear;
Windscale AGR [60] [21];2;AGR;-;-;1957;United Kingdom;52,21666667;1,619444444;Nuclear;
