id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
0,Borssele,Hard Coal,Steam Turbine,PP,Netherlands,485.0,,1973.0,,2034.0,51.4332,3.716,,0.0,0.0,0.0,{'49W000000000054X'},"{'BEYONDCOAL': {'BEYOND-NL-2'}, 'ENTSOE': {'49W000000000054X'}, 'GEM': {'G100000500496'}, 'WIKIPEDIA': {'WIKIPEDIA-132'}, 'OPSD': {'OEU-97'}, 'GEO': {'GEO-2401'}, 'GPD': {'WRI1019300'}}"
1,Logis Neuf,Hydro,Run-Of-River,PP,France,191.8,,1960.0,1960.0,,44.6763,4.7868,,0.0,0.0,0.0,"{'17W000001017799C', '17W100P100P0322N'}","{'ENTSOE': {'17W000001017799C', '17W100P100P0322N'}, 'GEM': {'G601671'}, 'JRC': {'JRC-H356'}, 'OPSD': {'OEU-206'}, 'GEO': {'GEO-39759'}, 'GPD': {'WRI1002690'}}"
2,Malgovert,Hydro,Reservoir,Store,France,297.0,,1952.0,,,45.6178,6.791,1370.7070707070707,0.0,0.0,0.0,{'17W100P100P02853'},"{'ENTSOE': {'17W100P100P02853'}, 'GEM': {'G601672'}, 'JRC': {'JRC-H149'}, 'OPSD': {'OEU-237'}, 'GEO': {'GEO-39815'}, 'GPD': {'WRI1002740'}}"
3,Marckolsheim,Hydro,Run-Of-River,PP,France,156.2,,1961.0,,,48.1537,7.5898,,0.0,0.0,0.0,{'17W100P100P0305N'},"{'ENTSOE': {'17W100P100P0305N'}, 'GEM': {'G601674'}, 'JRC': {'JRC-H316'}, 'OPSD': {'OEU-220'}, 'GEO': {'GEO-39808'}, 'GPD': {'WRI1002741'}}"
4,Mareges,Hydro,Run-Of-River,PP,France,150.0,,1935.0,2018.0,,45.3917,2.3646,,0.0,0.0,0.0,{'17W100P100P0328B'},"{'ENTSOE': {'17W100P100P0328B'}, 'GEM': {'G601675'}, 'JRC': {'JRC-H328'}, 'OPSD': {'OEU-214'}, 'GEO': {'GEO-39738'}, 'GPD': {'WRI1002742'}}"
5,Montezic,Hydro,Pumped Storage,Store,France,910.0,,1982.0,,,44.7372,2.6432,40.0,0.0,0.0,0.0,{'17W100P100P02772'},"{'ENTSOE': {'17W100P100P02772'}, 'GEM': {'G601678'}, 'JRC': {'JRC-H20'}, 'OPSD': {'OEU-201'}, 'GEO': {'GEO-42240'}, 'GPD': {'WRI1002747'}}"
6,Montpezat,Hydro,Reservoir,Store,France,131.8,,1954.0,,,43.7514,6.0888,,0.0,0.0,0.0,{'17W100B100P0287S'},"{'ENTSOE': {'17W100B100P0287S'}, 'GEM': {'G601679'}, 'JRC': {'JRC-H387'}, 'OPSD': {'OEU-239'}, 'GEO': {'GEO-39820'}, 'GPD': {'WRI1002748'}}"
7,Oraison,Hydro,Reservoir,Store,France,187.0,,1962.0,,,43.9212,5.9253,,0.0,0.0,0.0,{'17W100P100P0288Y'},"{'ENTSOE': {'17W100P100P0288Y'}, 'GEM': {'G601680'}, 'JRC': {'JRC-H260'}, 'OPSD': {'OEU-240'}, 'GEO': {'GEO-39706'}, 'GPD': {'WRI1002750'}}"
8,Ottmarsheim,Hydro,Run-Of-River,PP,France,156.0,,1952.0,,,47.7741,7.5225,,0.0,0.0,0.0,{'17W100P100P0306L'},"{'ENTSOE': {'17W100P100P0306L'}, 'GEM': {'G601682'}, 'JRC': {'JRC-H318'}, 'OPSD': {'OEU-222'}, 'GEO': {'GEO-39779'}, 'GPD': {'WRI1002751'}}"
9,Serre Poncon,Hydro,Reservoir,Store,France,384.0,,1960.0,,,44.4709,6.2696,1036.7567567567567,0.0,0.0,0.0,{'17W100P100P02926'},"{'ENTSOE': {'17W100P100P02926'}, 'GEM': {'G601704'}, 'JRC': {'JRC-H97'}, 'OPSD': {'OEU-249'}, 'GEO': {'GEO-39770'}, 'GPD': {'WRI1002773'}}"
